	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.005891842147156866	-0.0045872602410457364	-0.01726531668507318	0.005891842147156866	-0.0045872602410457364	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.127523559747551	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.48242530755711777	0.0	0.0	1.0	0.0	0.0
1	30	2408.987237511267	0.0	5.0	14.0	40.905899197111104	521.7254587594017	1887.2617787518666	0.7492032658999045	0.0	0.009200068598576494	-0.005793092422228474	-0.01619796844131723	0.009200068598576494	-0.005793092422228474	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.92315366904037	0.15000000000000324	0.2900000000000032	0.7000000000000123	0.5	1.0	0.0	0.8479184367034834	0.48598130841121495	0.03228547153780799	0.0	0.0167869847970488	0.7084179384529874	0.2747950767499635
2	60	2352.4635024640043	0.0	5.0	14.0	67.89207628194384	509.8702666215621	1842.5932358424402	0.7476553786160799	0.0	0.0066668653044514815	-0.011265132421932264	-0.01686716368839944	0.0066668653044514815	-0.011265132421932264	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.7853621193836	0.15000000000000324	0.29000000000000314	0.7000000000000122	0.5	1.0	0.0	0.5528109028960818	0.47700170357751276	0.282793867120954	0.0	0.3288878491885121	0.43767222873275186	0.23343992207873698
3	90	2282.4756444560385	0.0	5.0	14.0	92.15492944549754	495.22504540908574	1787.2505990469524	0.7456074749762479	0.0	0.013716121059999779	-0.004840624716874406	-0.024509899659677904	0.013716121059999779	-0.004840624716874406	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.81307659334078	0.15000000000000296	0.2900000000000012	0.7000000000000084	0.5	1.0	0.0	0.4995260663507109	0.42274881516587676	0.3819905213270142	0.0	0.0988911329618086	0.6628719926893868	0.23823687434880508
4	120	2228.1174493196136	0.0	5.0	14.0	115.2757906528613	484.0089293213085	1744.1085199983045	0.7433997015995614	0.0	0.021443197032596808	-0.0015420915816975816	-0.02281340728926121	0.021443197032596808	-0.0015420915816975816	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.80081044976257	0.15000000000000263	0.28999999999999887	0.700000000000004	0.5	1.0	0.0	0.2091295116772824	0.35456475583864117	0.42144373673036095	0.0	0.3835483185901498	0.4337991578118093	0.18265252359803977
5	150	2167.1118337764856	0.0	5.0	14.0	135.15972116470735	471.5085712364332	1695.6032625400512	0.7411418170377356	0.0	0.029317217410747554	-0.006550921613131376	-0.036756932412224975	0.029317217410747554	-0.006550921613131376	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.86504216510224	0.15000000000000233	0.28999999999999765	0.6999999999999995	0.5	1.0	0.0	0.0	0.27176470588235296	0.36941176470588233	0.0	0.5887560818379186	0.28870116398624884	0.12254275417583206
6	180	2122.976182844708	0.0	5.0	14.0	155.49952669513752	462.8098819058433	1660.1663009388678	0.7388451112500597	0.0	0.03161811137927971	-0.007956383030907047	-0.04209884682883865	0.03161811137927971	-0.007956383030907047	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.797222287822	0.1500000000000022	0.2899999999999978	0.6999999999999977	0.5	1.0	0.0	0.0	0.23658536585365852	0.15365853658536585	0.0	0.7674324030910828	0.16293957294632874	0.06962802396258884
7	210	2053.856837706061	0.0	5.0	14.0	169.80192835521274	448.7002266697743	1605.156611036292	0.7364029611669624	0.0	0.028149908028235665	-0.005885079221109525	-0.029525237696981954	0.028149908028235665	-0.005885079221109525	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.9226167372069	0.15000000000000227	0.2899999999999977	0.6999999999999988	0.5	1.0	0.0	0.0	0.21930870083432658	0.041716328963051254	0.0	0.8857336982738611	0.0799239063487861	0.03434239537735169
8	240	2052.313046148274	0.0	5.0	14.0	192.33314817120532	449.1931168131725	1603.1199293350978	0.7352774252216491	0.0	0.02857040238974171	-0.005231538316909691	-0.029025637495545643	0.02857040238974171	-0.005231538316909691	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.82710555995925	0.15000000000000233	0.2899999999999976	0.6999999999999996	0.5	1.0	0.0	0.0	0.21453692848769051	0.005861664712778429	0.0	0.9467318882294122	0.037232702699694385	0.016035409070893906
9	270	2044.4857028765846	0.0	5.0	14.0	212.7640281995825	448.1969176313072	1596.2887852452798	0.7344194409499831	0.0	0.0255377939433403	-0.0048921053925819625	-0.027118994932245327	0.0255377939433403	-0.0048921053925819625	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.84676067200314	0.15000000000000238	0.2899999999999975	0.7000000000000006	0.5	1.0	0.0	0.0	0.2190366972477064	0.0011467889908256881	0.0	0.9762156654509053	0.016620418853258656	0.0071639156958368455
