	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	4	1175	0
2	60	25	1173	17
3	90	128	1063	60
4	120	257	932	86
5	150	352	831	109
6	180	416	778	120
7	210	438	773	136
8	240	487	709	177
9	270	531	654	207
10	300	572	620	224
11	330	583	623	230
12	360	596	614	252
13	390	610	584	291
14	420	624	554	320
15	450	629	559	336
16	480	638	562	343
17	510	641	558	366
18	540	647	535	397
19	570	643	529	417
20	600	559	530	428
21	630	423	552	434
22	660	323	543	458
23	690	261	529	487
24	720	242	529	503
25	750	191	536	514
26	780	148	550	523
27	810	105	554	541
28	840	98	522	582
29	870	94	503	607
30	900	83	500	621
31	930	69	513	624
32	960	67	514	638
33	990	62	497	666
34	1020	61	480	692
35	1050	58	481	702
36	1080	56	486	707
37	1110	50	484	730
38	1140	54	456	763
39	1170	57	447	785
40	1200	53	453	795
41	1230	55	461	797
42	1260	58	452	815
43	1290	62	438	841
44	1320	65	430	860
45	1350	60	430	875
46	1380	56	437	878
47	1410	55	434	895
48	1440	58	418	920
