	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1183	0	1
2	60	1175	16	26
3	90	1051	55	154
4	120	880	89	317
5	150	791	100	421
6	180	790	102	453
7	210	778	117	468
8	240	690	185	506
9	270	621	222	563
10	300	605	236	594
11	330	612	237	602
12	360	605	262	606
13	390	570	308	624
14	420	544	335	646
15	450	549	344	655
16	480	566	347	655
17	510	564	359	657
18	540	513	418	664
19	570	476	461	664
20	600	473	475	556
21	630	476	479	386
22	660	479	488	270
23	690	456	520	241
24	720	433	548	232
25	750	444	553	204
26	780	454	556	148
27	810	449	568	113
28	840	418	606	105
29	870	404	631	109
30	900	392	644	100
31	930	404	645	80
32	960	416	654	69
33	990	396	688	71
34	1020	391	705	70
35	1050	384	718	67
36	1080	398	721	58
37	1110	409	729	53
38	1140	388	761	53
39	1170	362	798	53
40	1200	365	805	50
41	1230	383	806	42
42	1260	385	812	40
43	1290	369	840	38
44	1320	357	857	43
45	1350	353	868	43
46	1380	357	870	38
47	1410	359	876	36
48	1440	335	905	31
