	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1170	0
2	60	17	1174	9
3	90	61	1057	106
4	120	80	916	260
5	150	85	870	327
6	180	85	875	348
7	210	85	906	350
8	240	97	917	353
9	270	143	889	378
10	300	196	794	444
11	330	209	768	483
12	360	212	786	489
13	390	212	816	492
14	420	213	845	494
15	450	248	831	499
16	480	314	771	523
17	510	335	742	551
18	540	336	762	559
19	570	336	783	562
20	600	336	811	491
21	630	346	834	341
22	660	422	772	260
23	690	465	731	263
24	720	472	733	273
25	750	473	746	275
26	780	473	767	256
27	810	476	790	199
28	840	532	750	160
29	870	618	667	170
30	900	637	665	178
31	930	637	684	183
32	960	637	705	181
33	990	637	724	164
34	1020	660	733	133
35	1050	735	663	139
36	1080	767	641	146
37	1110	771	655	150
38	1140	771	675	149
39	1170	771	702	139
40	1200	779	724	116
41	1230	840	672	105
42	1260	896	630	114
43	1290	914	622	115
44	1320	914	641	116
45	1350	914	662	109
46	1380	914	681	93
47	1410	959	659	84
48	1440	1017	614	82
