	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	2	0	1174
2	60	23	12	1184
3	90	127	47	1078
4	120	269	73	944
5	150	367	101	843
6	180	416	109	820
7	210	434	110	827
8	240	436	111	851
9	270	439	111	874
10	300	439	111	904
11	330	445	138	896
12	360	468	247	787
13	390	523	323	674
14	420	573	364	600
15	450	604	381	567
16	480	606	384	586
17	510	608	384	612
18	540	606	385	639
19	570	597	385	653
20	600	507	392	668
21	630	373	457	622
22	660	285	546	530
23	690	237	578	506
24	720	230	603	494
25	750	227	604	513
26	780	227	604	525
27	810	228	604	538
28	840	227	604	559
29	870	209	606	575
30	900	163	659	539
31	930	121	728	475
32	960	89	771	432
33	990	87	787	428
34	1020	89	790	432
35	1050	89	790	450
36	1080	90	790	463
37	1110	89	790	477
38	1140	82	790	493
39	1170	63	813	487
40	1200	59	878	427
41	1230	55	920	391
42	1260	61	945	368
43	1290	60	949	380
44	1320	59	950	387
45	1350	60	950	404
46	1380	57	950	412
47	1410	54	950	424
48	1440	51	958	432
