	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1164	2	1
2	60	1158	38	12
3	90	1022	152	60
4	120	871	287	98
5	150	769	391	125
6	180	719	446	136
7	210	715	465	146
8	240	681	489	180
9	270	613	528	221
10	300	568	567	242
11	330	555	588	254
12	360	559	592	260
13	390	550	598	286
14	420	518	610	316
15	450	490	621	346
16	480	469	628	369
17	510	475	630	375
18	540	472	632	389
19	570	464	610	417
20	600	454	522	439
21	630	458	384	452
22	660	464	275	459
23	690	470	212	464
24	720	465	189	489
25	750	438	177	521
26	780	427	150	535
27	810	432	106	544
28	840	455	82	544
29	870	448	79	567
30	900	419	84	604
31	930	413	77	620
32	960	407	70	629
33	990	427	63	633
34	1020	437	61	638
35	1050	429	60	668
36	1080	407	61	698
37	1110	414	60	711
38	1140	425	60	715
39	1170	429	60	722
40	1200	421	62	741
41	1230	394	60	774
42	1260	387	56	788
43	1290	393	53	794
44	1320	399	52	799
45	1350	396	52	812
46	1380	381	54	837
47	1410	369	50	864
48	1440	369	48	870
