	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	6	1150
2	60	14	29	1153
3	90	41	102	1083
4	120	75	233	944
5	150	102	344	831
6	180	107	406	798
7	210	110	427	794
8	240	110	436	814
9	270	110	438	837
10	300	133	445	839
11	330	215	486	742
12	360	285	553	628
13	390	322	588	582
14	420	334	603	577
15	450	339	608	580
16	480	339	611	597
17	510	339	611	610
18	540	353	609	626
19	570	411	604	581
20	600	467	559	526
21	630	491	436	511
22	660	502	332	510
23	690	502	264	527
24	720	502	238	537
25	750	502	229	560
26	780	507	228	579
27	810	565	229	541
28	840	617	205	494
29	870	645	150	477
30	900	660	112	477
31	930	663	100	481
32	960	663	94	491
33	990	663	91	504
34	1020	669	91	515
35	1050	721	92	475
36	1080	778	91	422
37	1110	813	84	400
38	1140	824	73	402
39	1170	826	68	415
40	1200	826	64	427
41	1230	826	63	445
42	1260	826	62	456
43	1290	859	63	431
44	1320	920	65	378
45	1350	957	62	342
46	1380	972	54	344
47	1410	979	51	344
48	1440	979	50	351
