	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.012812414773005614	-0.0066948750535900225	0.027873191225858605	0.012812414773005614	-0.0066948750535900225	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.01662728342519	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.4973637961335677	0.0	0.0	1.0	0.0	0.0
1	30	2423.118571843913	0.0	5.0	14.0	41.19573454273485	524.7660225417213	1898.3525493021923	0.7493838709562116	0.0	0.015840868270522453	-0.011782220000815061	0.02720536379922387	0.015840868270522453	-0.011782220000815061	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	34.07956581515188	0.15000000000000324	0.2900000000000031	0.7000000000000121	0.5	1.0	0.0	0.594017094017094	0.4948717948717949	0.03076923076923077	0.0	0.33126791804468675	0.43377986156116105	0.23495222039415223
2	60	2359.7617592051356	0.0	5.0	14.0	68.12273094072346	511.3890223246432	1848.3727368804953	0.7479265437902658	0.0	0.012367916749772423	-0.011546943986810795	0.021416413475131138	0.012367916749772423	-0.011546943986810795	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.799490512726926	0.15000000000000321	0.290000000000003	0.7000000000000118	0.5	1.0	0.0	0.44587628865979384	0.4853951890034364	0.2706185567010309	0.0	0.013608886068286724	0.7079993264314706	0.2783917875002433
3	90	2310.6775188150764	0.0	5.0	14.0	94.31381209813074	501.2644578024856	1809.413061012591	0.7461821819586308	0.0	-0.00010998663189677118	-0.01655533986087784	0.021615381757367203	-0.00010998663189677118	-0.01655533986087784	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.75275828999384	0.150000000000003	0.2900000000000014	0.700000000000009	0.5	1.0	0.0	0.5514018691588785	0.4523364485981308	0.3467289719626168	0.0	0.33699313307263107	0.43185283320732926	0.23115403372004034
4	120	2231.049288104985	0.0	5.0	14.0	116.36360451154978	484.6650811615522	1746.3842069434363	0.7438708580615098	0.0	0.014859645752876207	-0.013471327411957836	0.02367341245731074	0.014859645752876207	-0.013471327411957836	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.71445412666264	0.15000000000000266	0.2899999999999991	0.7000000000000044	0.5	1.0	0.0	0.5378151260504201	0.38445378151260506	0.37710084033613445	0.0	0.2719859852323933	0.514344707357146	0.21366930741046086
5	150	2165.3900272350043	0.0	5.0	14.0	137.64209832138738	471.2476023622652	1694.1424248727365	0.7413494385562178	0.0	0.027748838278768777	-0.015208669968189733	0.01900945759145313	0.027748838278768777	-0.015208669968189733	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.92972217370166	0.15000000000000227	0.2899999999999977	0.6999999999999987	0.5	1.0	0.0	0.0	0.3201911589008363	0.43130227001194743	0.0	0.4690794893059944	0.37322871287232706	0.15769179782167905
6	180	2091.173172226853	0.0	5.0	14.0	154.02806108162193	456.14333201704324	1635.0298402098126	0.7380807101727347	0.0	0.03313705731368502	-0.009380419083528336	0.019271959897618242	0.03313705731368502	-0.009380419083528336	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	184.07300649175346	0.150000000000002	0.2899999999999982	0.6999999999999948	0.5	1.0	0.0	0.0	0.24740932642487046	0.2862694300518135	0.0	0.6723791329731371	0.2297682653955979	0.09785260163126511
7	210	2070.3899216560435	0.0	5.0	14.0	174.7804699537942	452.48031422974543	1617.9096074262975	0.7364969134880353	0.0	0.03165785406938814	-0.013576926311042499	0.015873094717871152	0.03165785406938814	-0.013576926311042499	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.87699551755094	0.1500000000000019	0.2899999999999983	0.6999999999999938	0.5	1.0	0.0	0.0	0.2192866578599736	0.08982826948480846	0.0	0.8235813468972788	0.12348417353211855	0.05293447957060266
8	240	2055.884644323956	0.0	5.0	14.0	195.55184673860623	450.13811806619105	1605.7465262577657	0.7350999040543639	0.0	0.032789264170594246	-0.015304980288241423	0.014602783400447211	0.032789264170594246	-0.015304980288241423	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.77515819657896	0.15000000000000194	0.28999999999999826	0.6999999999999944	0.5	1.0	0.0	0.0	0.2065359477124183	0.02091503267973856	0.0	0.9149626231551786	0.059483264082703574	0.025554112762116804
9	270	2040.400005146584	0.0	5.0	14.0	214.56493836518015	447.41458651658587	1592.9854186299956	0.734328268101165	0.0	0.031519989171061705	-0.016971513259866802	0.013255365424749017	0.031519989171061705	-0.016971513259866802	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.9625152512321	0.15000000000000205	0.2899999999999981	0.6999999999999957	0.5	1.0	0.0	0.0	0.2099236641221374	0.006361323155216285	0.0	0.9612024934092994	0.02711225462302204	0.011685251967678393
