	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1173	4	1
2	60	1185	26	12
3	90	1082	151	46
4	120	928	311	73
5	150	845	412	95
6	180	821	454	102
7	210	839	468	105
8	240	872	472	105
9	270	918	475	105
10	300	939	477	105
11	330	969	478	105
12	360	998	481	105
13	390	1023	484	105
14	420	1062	485	105
15	450	1085	486	105
16	480	1120	486	105
17	510	1145	492	105
18	540	1125	495	155
19	570	916	522	363
20	600	698	498	527
21	630	605	384	584
22	660	601	284	596
23	690	610	238	598
24	720	628	221	598
25	750	647	216	598
26	780	673	213	598
27	810	690	212	598
28	840	712	211	598
29	870	734	213	598
30	900	763	209	598
31	930	787	208	598
32	960	809	207	598
33	990	837	208	598
34	1020	832	206	632
35	1050	712	218	759
36	1080	561	239	894
37	1110	490	177	954
38	1140	472	138	969
39	1170	489	117	970
40	1200	496	115	970
41	1230	504	114	970
42	1260	521	115	970
43	1290	544	116	970
44	1320	556	116	970
45	1350	576	115	970
46	1380	602	113	970
47	1410	618	113	970
48	1440	632	113	970
