	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	2	1170	0
2	60	38	1157	11
3	90	148	1045	44
4	120	257	919	85
5	150	364	797	119
6	180	425	750	139
7	210	448	757	142
8	240	454	768	148
9	270	463	743	186
10	300	506	672	237
11	330	548	596	289
12	360	577	566	312
13	390	596	552	327
14	420	600	559	330
15	450	601	578	331
16	480	604	555	363
17	510	615	521	408
18	540	624	492	445
19	570	605	480	465
20	600	518	483	471
21	630	401	507	474
22	660	300	527	475
23	690	232	517	494
24	720	206	491	534
25	750	207	444	585
26	780	218	422	609
27	810	187	424	615
28	840	144	443	617
29	870	108	457	618
30	900	89	453	641
31	930	90	421	682
32	960	93	401	707
33	990	95	382	731
34	1020	87	389	736
35	1050	77	397	737
36	1080	71	407	738
37	1110	63	398	756
38	1140	64	384	779
39	1170	69	359	809
40	1200	71	351	822
41	1230	67	357	828
42	1260	62	364	829
43	1290	48	376	831
44	1320	42	370	846
45	1350	44	350	877
46	1380	50	340	900
47	1410	49	334	917
48	1440	48	338	924
