	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	1	1179	0
2	60	15	1194	17
3	90	52	1068	132
4	120	81	925	285
5	150	99	824	401
6	180	122	751	466
7	210	144	696	517
8	240	164	668	551
9	270	184	651	571
10	300	202	632	596
11	330	210	630	609
12	360	229	617	620
13	390	239	611	629
14	420	253	617	633
15	450	271	618	638
16	480	281	628	644
17	510	291	639	646
18	540	298	646	648
19	570	307	657	641
20	600	318	669	556
21	630	331	681	390
22	660	338	712	267
23	690	356	708	198
24	720	367	722	152
25	750	377	724	121
26	780	388	729	103
27	810	407	735	81
28	840	431	737	71
29	870	443	741	63
30	900	459	746	55
31	930	476	756	50
32	960	493	760	47
33	990	507	767	44
34	1020	525	766	44
35	1050	538	777	45
36	1080	551	790	45
37	1110	571	790	47
38	1140	588	790	52
39	1170	605	786	59
40	1200	623	784	58
41	1230	640	796	56
42	1260	662	796	54
43	1290	681	809	56
44	1320	697	829	54
45	1350	713	829	56
46	1380	734	833	58
47	1410	754	837	61
48	1440	764	855	64
