	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1174	0	2
2	60	1161	18	29
3	90	1063	48	125
4	120	925	85	259
5	150	838	110	354
6	180	777	133	410
7	210	724	158	459
8	240	683	179	499
9	270	667	195	527
10	300	663	208	542
11	330	650	227	556
12	360	642	253	562
13	390	633	273	572
14	420	631	296	576
15	450	634	312	581
16	480	638	333	586
17	510	631	351	590
18	540	627	371	595
19	570	624	393	587
20	600	615	414	497
21	630	598	444	376
22	660	599	460	266
23	690	588	484	205
24	720	589	495	160
25	750	592	508	128
26	780	584	530	97
27	810	578	545	82
28	840	586	556	71
29	870	598	569	61
30	900	602	588	55
31	930	602	605	52
32	960	598	624	48
33	990	596	643	46
34	1020	598	660	43
35	1050	605	678	40
36	1080	598	701	42
37	1110	599	721	41
38	1140	601	738	41
39	1170	599	756	42
40	1200	601	773	43
41	1230	595	792	46
42	1260	586	812	46
43	1290	588	824	50
44	1320	585	842	49
45	1350	584	857	50
46	1380	592	874	51
47	1410	594	889	49
48	1440	604	904	50
