	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1168
2	60	16	27	1156
3	90	60	140	1029
4	120	92	312	858
5	150	112	409	786
6	180	130	478	720
7	210	143	525	679
8	240	170	548	654
9	270	179	568	643
10	300	196	584	633
11	330	205	596	638
12	360	217	605	638
13	390	230	615	627
14	420	247	623	630
15	450	262	627	640
16	480	275	632	639
17	510	284	636	643
18	540	293	640	654
19	570	303	632	665
20	600	313	540	673
21	630	330	371	665
22	660	337	263	678
23	690	346	198	687
24	720	354	141	704
25	750	364	122	706
26	780	381	107	702
27	810	393	92	707
28	840	410	81	708
29	870	423	71	715
30	900	436	65	723
31	930	448	58	736
32	960	468	55	740
33	990	487	56	755
34	1020	502	59	756
35	1050	519	55	760
36	1080	528	55	771
37	1110	543	52	778
38	1140	563	49	789
39	1170	586	50	781
40	1200	599	52	796
41	1230	618	51	807
42	1260	631	51	819
43	1290	644	51	817
44	1320	666	52	812
45	1350	685	53	811
46	1380	703	56	815
47	1410	719	54	838
48	1440	737	54	843
