	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	0	1197
2	60	17	16	1193
3	90	152	57	1047
4	120	315	91	883
5	150	416	110	787
6	180	473	133	729
7	210	510	158	690
8	240	530	181	663
9	270	546	192	655
10	300	569	217	632
11	330	584	235	621
12	360	593	247	623
13	390	601	255	629
14	420	605	263	640
15	450	611	273	651
16	480	613	286	655
17	510	618	300	654
18	540	618	315	650
19	570	615	335	652
20	600	512	344	669
21	630	348	354	676
22	660	235	364	677
23	690	173	377	673
24	720	129	389	682
25	750	110	406	689
26	780	97	422	696
27	810	80	435	713
28	840	62	453	715
29	870	55	465	734
30	900	46	475	759
31	930	45	495	760
32	960	44	503	777
33	990	42	516	793
34	1020	45	527	808
35	1050	41	543	814
36	1080	38	560	826
37	1110	36	574	838
38	1140	40	587	852
39	1170	39	598	865
40	1200	35	606	883
41	1230	40	623	890
42	1260	43	635	904
43	1290	44	648	920
44	1320	43	666	943
45	1350	43	679	950
46	1380	47	694	949
47	1410	46	714	951
48	1440	47	726	960
