,user_parameters.time_add_tnf,user_parameters.duration_add_tnf,user_parameters.concentration_tnf,score
0,764.0,23.0,0.131628184,1054.3333333333333
0,764.0,23.0,0.153607974,958.3333333333334
0,787.0,23.0,0.11021406380000001,1105.0
0,688.0,17.0,0.05716436000000001,1956.3333333333333
0,662.0,21.0,0.1798087358,584.3333333333334
0,666.0,17.0,0.2034762384,647.3333333333334
0,662.0,24.0,0.1324132851,543.0
0,649.0,21.0,0.09781667299999999,541.3333333333334
0,602.0,17.0,0.13087314449999998,542.0
0,650.0,17.0,0.16664313609999998,529.3333333333334
0,712.0,25.0,0.2497362131,1038.6666666666667
0,610.0,23.0,0.1382046706,512.6666666666666
0,546.0,11.0,0.13857997619999998,593.0
0,586.0,23.0,0.27254746119999995,458.0
0,600.0,23.0,0.26603247799999996,509.6666666666667
0,586.0,26.0,0.28473665239999996,503.6666666666667
0,552.0,26.0,0.28473665239999996,506.0
0,552.0,26.0,0.28473665239999996,517.0
0,618.0,14.0,0.3668436636,498.3333333333333
0,520.0,18.0,0.31919060359999996,570.3333333333334
0,520.0,18.0,0.27345750039999994,580.3333333333334
0,550.0,26.0,0.23931712959999996,533.6666666666666
0,576.0,26.0,0.28700530579999994,484.6666666666667
0,576.0,23.0,0.28700530579999994,501.3333333333333
0,508.0,20.0,0.31320516499999995,564.3333333333334
0,508.0,20.0,0.31320516499999995,620.3333333333334
0,556.0,22.0,0.2680436703,521.6666666666666
0,556.0,26.0,0.2680436703,492.3333333333333
0,556.0,30.0,0.2680436703,505.0
0,439.0,18.0,0.1878501963,370.3333333333333
0,409.0,18.0,0.1018640557,422.0
0,497.0,18.0,0.2484380077,646.6666666666666
0,363.0,18.0,0.1444195276,454.3333333333333
0,507.0,16.0,0.20861066159999997,581.3333333333334
0,377.0,18.0,0.1388881679,412.6666666666667
0,377.0,21.0,0.1388881679,407.0
0,437.0,21.0,0.1118447321,398.3333333333333
0,400.0,21.0,0.0647332726,670.6666666666666
0,486.0,24.0,0.1264293261,583.0
0,400.0,20.0,0.0736070774,586.0
0,452.0,18.0,0.2502185519,483.0
0,443.0,18.0,0.2502185519,379.0
0,357.0,15.0,0.2924075227,487.6666666666667
0,587.0,18.0,0.25085314049999996,535.0
0,426.0,22.0,0.2053402365,382.3333333333333
0,443.0,20.0,0.25172764039999995,386.6666666666667
0,417.0,20.0,0.17415771039999994,383.6666666666667
0,389.0,24.0,0.17415771039999994,440.6666666666667
0,333.0,12.0,0.18593649319999994,328.0
0,312.0,14.0,0.15553992439999992,354.6666666666667
0,321.0,21.0,0.2576536225999999,301.6666666666667
0,273.0,17.0,0.3002499608999999,393.0
0,280.0,27.0,0.1591022495999999,413.0
0,303.0,17.0,0.2989583798999999,346.0
0,311.0,15.0,0.37302826409999995,341.3333333333333
0,259.0,21.0,0.29634530709999996,322.0
0,256.0,21.0,0.29634530709999996,308.6666666666667
0,364.0,21.0,0.27211088799999994,425.0
0,256.0,21.0,0.29634530709999996,296.6666666666667
0,236.0,25.0,0.26528095179999994,391.6666666666667
0,89.0,25.0,0.21465867579999995,710.3333333333334
0,236.0,13.0,0.3668053983999999,372.6666666666667
0,236.0,13.0,0.3668053983999999,404.6666666666667
0,236.0,13.0,0.3668053983999999,365.6666666666667
0,201.0,13.0,0.33949253389999995,398.3333333333333
0,292.0,11.0,0.3417833074999999,386.0
0,328.0,7.0,0.34176733139999993,322.6666666666667
0,248.0,11.0,0.3067864357999999,327.0
0,233.0,10.0,0.2795306791999999,403.6666666666667
0,209.0,11.0,0.30261829249999994,337.3333333333333
0,205.0,13.0,0.33368307379999995,367.6666666666667
0,205.0,13.0,0.33368307379999995,360.3333333333333
0,205.0,16.0,0.37346592319999994,425.6666666666667
0,239.0,16.0,0.28807513539999996,384.0
0,137.0,25.0,0.21578134599999996,530.0
0,122.0,21.0,0.22083255889999995,619.6666666666666
0,82.0,23.0,0.23945610749999993,628.0
0,110.0,26.0,0.19347557849999994,749.3333333333334
0,65.0,24.0,0.19558736209999994,636.6666666666666
0,82.0,23.0,0.23945610749999993,640.0
0,82.0,23.0,0.23945610749999993,629.6666666666666
0,82.0,23.0,0.19384409219999993,658.0
0,46.0,23.0,0.17484539229999993,619.0
0,51.0,26.0,0.11099692629999994,831.6666666666666
0,46.0,19.0,0.17484539229999993,636.0
0,61.0,22.0,0.18960666579999993,585.6666666666666
0,71.0,22.0,0.18960666579999993,676.0
0,61.0,22.0,0.14794651289999994,754.3333333333334
0,61.0,22.0,0.18960666579999993,623.0
0,61.0,19.0,0.19655623459999993,622.3333333333334
0,15.0,19.0,0.20260852969999993,595.3333333333334
0,25.0,21.0,0.20260852969999993,584.0
0,25.0,24.0,0.16968850309999994,667.0
0,48.0,24.0,0.16968850309999994,638.6666666666666
0,54.0,21.0,0.10578713229999993,907.0
0,48.0,24.0,0.13326756589999994,661.0
0,48.0,24.0,0.16968850309999994,594.0
0,78.0,8.0,0.23940160879999994,777.6666666666666
0,48.0,20.0,0.21048271799999996,638.6666666666666
0,29.0,20.0,0.21048271799999996,563.6666666666666
