	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	0	1158
2	60	26	14	1154
3	90	126	41	1060
4	120	261	73	922
5	150	365	98	826
6	180	439	119	749
7	210	476	124	727
8	240	483	124	742
9	270	488	124	755
10	300	490	124	775
11	330	491	124	800
12	360	492	124	819
13	390	495	124	840
14	420	496	124	877
15	450	496	124	910
16	480	498	124	943
17	510	499	126	969
18	540	508	196	921
19	570	534	336	774
20	600	504	429	650
21	630	398	483	577
22	660	312	515	548
23	690	251	525	544
24	720	211	528	548
25	750	197	528	562
26	780	193	528	579
27	810	190	528	599
28	840	190	528	619
29	870	189	528	635
30	900	187	528	656
31	930	185	528	669
32	960	186	528	694
33	990	185	529	717
34	1020	188	577	685
35	1050	202	695	572
36	1080	187	767	496
37	1110	156	817	444
38	1140	123	854	405
39	1170	101	862	403
40	1200	81	862	420
41	1230	80	862	430
42	1260	78	862	447
43	1290	77	862	456
44	1320	77	862	475
45	1350	77	862	497
46	1380	77	862	525
47	1410	78	862	543
48	1440	79	862	557
