	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1172
2	60	18	23	1175
3	90	49	113	1100
4	120	83	242	960
5	150	107	339	869
6	180	121	428	802
7	210	125	461	791
8	240	126	469	821
9	270	126	471	842
10	300	127	473	852
11	330	127	475	876
12	360	127	476	897
13	390	127	476	931
14	420	130	478	952
15	450	202	491	892
16	480	331	537	736
17	510	411	599	625
18	540	462	639	556
19	570	495	640	531
20	600	498	581	536
21	630	499	461	548
22	660	499	354	564
23	690	499	256	573
24	720	499	216	585
25	750	499	209	611
26	780	499	206	633
27	810	502	204	652
28	840	548	206	626
29	870	641	222	536
30	900	713	235	469
31	930	764	248	414
32	960	784	246	405
33	990	787	198	419
34	1020	788	142	426
35	1050	788	97	439
36	1080	788	79	452
37	1110	788	65	466
38	1140	788	62	490
39	1170	788	64	503
40	1200	791	62	513
41	1230	829	63	489
42	1260	900	71	418
43	1290	956	78	365
44	1320	987	84	336
45	1350	1003	92	326
46	1380	1008	80	332
47	1410	1008	61	340
48	1440	1008	53	349
