	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.012812414773005614	-0.0066948750535900225	0.027873191225858605	0.012812414773005614	-0.0066948750535900225	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.834973039557692	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.5105448154657294	0.0	0.0	1.0	0.0	0.0
1	30	2417.1570940987494	0.0	5.0	14.0	41.02102869361683	523.4816044287257	1893.6754896700243	0.749332823678399	0.0	0.017864555847428302	-0.008351020181670468	0.032436211553993476	0.017864555847428302	-0.008351020181670468	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	34.079575618296936	0.15000000000000324	0.29000000000000314	0.7000000000000122	0.5	1.0	0.0	0.585531914893617	0.5131914893617021	0.04425531914893617	0.0	0.3228261583586963	0.4409698170089451	0.23620402463235857
2	60	2332.2515962560406	0.0	5.0	14.0	66.76148350212947	505.490122944919	1826.7614733111225	0.7475628030342574	0.0	0.019752585475892814	-0.005332343425363937	0.028421744492600477	0.019752585475892814	-0.005332343425363937	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.69197790603307	0.15000000000000324	0.29000000000000314	0.7000000000000122	0.5	1.0	0.0	0.4808510638297872	0.5089361702127659	0.24765957446808512	0.0	0.02296351600670081	0.7013586736716184	0.2756778103216813
3	90	2283.128313784861	0.0	5.0	14.0	92.54552645676681	495.4579542399649	1787.6703595448976	0.7453997792161335	0.0	0.018035544344252096	-0.004304914507678801	0.03461349678415295	0.018035544344252096	-0.004304914507678801	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.81501493678324	0.150000000000003	0.2900000000000013	0.7000000000000087	0.5	1.0	0.0	0.5291353383458647	0.46710526315789475	0.36372180451127817	0.0	0.3288593510129765	0.4417211130339107	0.22941953595311285
4	120	2220.277512167741	0.0	5.0	14.0	115.77164994780301	482.44990946086466	1737.8276027068755	0.743337965823931	0.0	0.003555993725842652	0.005374897039536239	0.042772100050504976	0.003555993725842652	0.005374897039536239	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.73443157334478	0.1500000000000027	0.2899999999999992	0.7000000000000046	0.5	1.0	0.0	0.7473903966597077	0.4102296450939457	0.3862212943632568	0.0	0.322020760022251	0.47731223827314834	0.20066700170460094
5	150	2154.1645415117	0.0	5.0	14.0	135.1336857888647	468.80654867806044	1685.3579928336421	0.7412675712365563	0.0	0.00044824080572378216	0.02191722065884525	0.047450860327530264	0.00044824080572378216	0.02191722065884525	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.65728771031138	0.15000000000000235	0.28999999999999754	0.7000000000000001	0.5	1.0	0.0	0.0	0.3433874709976798	0.37470997679814383	0.0	0.5222722249532169	0.33538400371050575	0.14234377133627724
6	180	2125.4632733070957	0.0	5.0	14.0	157.6798634883881	463.4865550093244	1661.9767182977687	0.7388399570196676	0.0	0.0011150848125411894	0.013148342750157959	0.056274461522400454	0.0011150848125411894	0.013148342750157959	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.8172172598152	0.150000000000002	0.28999999999999815	0.699999999999995	0.5	1.0	0.0	0.0	0.27906976744186046	0.19121447028423771	0.0	0.71422171937022	0.20034585522887233	0.08543242540090729
7	210	2064.9053918194377	0.0	5.0	14.0	173.47708946408122	451.21090767551794	1613.6944841439217	0.7365638601118745	0.0	0.0009524692359738417	0.02232615915461888	0.04558969467310419	0.0009524692359738417	0.02232615915461888	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	214.14344468773328	0.15000000000000194	0.28999999999999826	0.6999999999999944	0.5	1.0	0.0	0.0	0.24705882352941178	0.06274509803921569	0.0	0.8531490696730787	0.10275792855234127	0.04409300177457899
8	240	2038.5089569219313	0.0	5.0	14.0	191.75034610691392	446.2835304013836	1592.2254265205474	0.7347759868219694	0.0	-0.0008363203367056593	0.02489055433836659	0.042914898327377604	-0.0008363203367056593	0.02489055433836659	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.76438481740539	0.15000000000000205	0.2899999999999981	0.6999999999999957	0.5	1.0	0.0	0.7519083969465649	0.2430025445292621	0.017811704834605598	0.0	0.19012072907214864	0.5592005266277045	0.2506787443001465
9	270	2011.5268141094596	0.0	5.0	14.0	206.80710283907595	441.1646865347532	1570.3621275747078	0.7338481165438849	0.0	-0.006220451946041576	0.028678054590821643	0.041015285831057506	-0.006220451946041576	0.028678054590821643	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.6491457063289	0.15000000000000208	0.28999999999999804	0.699999999999996	0.5	1.0	0.0	0.5335868187579215	0.24081115335868186	0.1926489226869455	0.0	0.15570108712013847	0.5862044316535172	0.25809448122634476
