	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1167	4
2	60	11	1173	25
3	90	45	1081	122
4	120	73	946	254
5	150	102	842	366
6	180	117	776	435
7	210	121	775	472
8	240	123	798	479
9	270	140	808	487
10	300	185	777	509
11	330	218	736	539
12	360	260	692	567
13	390	285	673	583
14	420	291	690	593
15	450	291	705	602
16	480	303	715	606
17	510	356	688	617
18	540	409	659	625
19	570	441	637	624
20	600	463	619	550
21	630	473	615	430
22	660	474	640	311
23	690	485	647	242
24	720	529	629	195
25	750	572	602	191
26	780	607	584	192
27	810	638	564	184
28	840	646	580	154
29	870	647	588	130
30	900	649	604	114
31	930	685	582	107
32	960	722	549	104
33	990	766	515	101
34	1020	795	499	96
35	1050	806	506	89
36	1080	810	513	78
37	1110	811	519	63
38	1140	833	523	56
39	1170	879	495	62
40	1200	911	480	65
41	1230	937	469	67
42	1260	956	459	69
43	1290	960	472	62
44	1320	962	487	56
45	1350	985	477	51
46	1380	1024	449	52
47	1410	1060	425	56
48	1440	1079	422	57
