	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1174	0	3
2	60	1169	13	31
3	90	1066	34	147
4	120	936	66	272
5	150	855	83	357
6	180	792	110	426
7	210	784	111	457
8	240	790	113	472
9	270	816	113	473
10	300	840	113	473
11	330	831	139	477
12	360	747	218	506
13	390	682	281	533
14	420	622	324	571
15	450	595	357	588
16	480	614	365	595
17	510	621	366	599
18	540	638	366	598
19	570	654	366	579
20	600	654	382	471
21	630	595	443	366
22	660	548	492	287
23	690	504	540	229
24	720	472	570	205
25	750	466	584	191
26	780	474	585	191
27	810	486	585	193
28	840	501	586	192
29	870	509	595	170
30	900	468	645	138
31	930	423	694	109
32	960	395	732	93
33	990	382	761	87
34	1020	378	773	85
35	1050	403	774	89
36	1080	421	774	88
37	1110	434	774	89
38	1140	448	778	79
39	1170	429	806	63
40	1200	394	851	56
41	1230	364	888	51
42	1260	359	903	45
43	1290	376	909	44
44	1320	384	911	44
45	1350	402	911	45
46	1380	414	911	46
47	1410	422	911	45
48	1440	408	937	43
