	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	4	1181	0
2	60	34	1164	11
3	90	143	1050	41
4	120	266	926	75
5	150	371	809	111
6	180	448	734	136
7	210	480	710	139
8	240	488	715	139
9	270	490	731	139
10	300	496	750	151
11	330	516	709	198
12	360	565	618	254
13	390	598	562	301
14	420	624	529	328
15	450	635	534	338
16	480	641	542	341
17	510	644	561	343
18	540	642	573	345
19	570	631	560	378
20	600	547	523	430
21	630	424	494	464
22	660	326	460	494
23	690	248	455	510
24	720	212	462	512
25	750	205	467	512
26	780	202	485	512
27	810	199	494	523
28	840	190	461	560
29	870	154	427	595
30	900	123	401	629
31	930	99	387	652
32	960	85	392	659
33	990	81	404	660
34	1020	79	418	661
35	1050	78	434	662
36	1080	78	424	682
37	1110	73	406	714
38	1140	68	387	739
39	1170	65	371	764
40	1200	58	367	774
41	1230	55	375	778
42	1260	54	385	778
43	1290	53	394	778
44	1320	52	394	787
45	1350	50	368	820
46	1380	40	339	857
47	1410	39	331	877
48	1440	36	329	890
