	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1177	2	0
2	60	1179	32	13
3	90	1071	145	46
4	120	967	255	75
5	150	848	367	102
6	180	770	455	120
7	210	759	488	128
8	240	774	498	131
9	270	752	507	163
10	300	680	541	214
11	330	628	571	261
12	360	584	603	295
13	390	570	619	311
14	420	574	628	317
15	450	586	632	320
16	480	568	639	352
17	510	526	650	401
18	540	501	654	434
19	570	479	642	464
20	600	482	554	474
21	630	498	442	475
22	660	511	327	477
23	690	503	244	504
24	720	455	205	553
25	750	446	197	577
26	780	424	194	605
27	810	426	165	612
28	840	438	134	614
29	870	444	106	620
30	900	427	96	648
31	930	405	87	676
32	960	396	86	697
33	990	390	80	714
34	1020	388	71	724
35	1050	406	65	724
36	1080	418	60	728
37	1110	393	51	760
38	1140	374	54	787
39	1170	366	60	808
40	1200	363	65	818
41	1230	368	57	823
42	1260	378	51	826
43	1290	390	46	831
44	1320	382	45	850
45	1350	372	50	867
46	1380	362	50	887
47	1410	355	49	906
48	1440	364	46	909
