	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	0	1180
2	60	25	17	1183
3	90	136	45	1077
4	120	271	78	935
5	150	372	114	826
6	180	464	132	732
7	210	490	136	726
8	240	506	136	735
9	270	508	136	754
10	300	511	142	779
11	330	525	198	729
12	360	562	269	638
13	390	603	321	565
14	420	636	349	524
15	450	649	365	505
16	480	656	367	517
17	510	658	367	531
18	540	658	367	546
19	570	643	375	554
20	600	563	421	528
21	630	427	465	496
22	660	329	490	478
23	690	238	513	470
24	720	205	519	474
25	750	191	520	486
26	780	188	520	499
27	810	188	520	520
28	840	183	543	516
29	870	149	597	472
30	900	123	639	432
31	930	91	674	409
32	960	76	690	403
33	990	70	693	416
34	1020	70	695	427
35	1050	71	696	438
36	1080	72	697	448
37	1110	68	723	434
38	1140	68	764	408
39	1170	59	793	400
40	1200	54	818	388
41	1230	54	834	384
42	1260	53	836	391
43	1290	52	836	402
44	1320	53	836	416
45	1350	52	841	430
46	1380	50	885	405
47	1410	38	935	368
48	1440	35	960	348
49	1470	35	975	340
50	1500	35	981	341
51	1530	34	983	356
52	1560	35	983	364
53	1590	34	983	377
54	1620	34	989	394
55	1650	28	1027	369
56	1680	29	1069	333
57	1710	27	1103	306
58	1740	29	1116	299
59	1770	28	1121	306
60	1800	30	1121	314
61	1830	29	1121	322
62	1860	27	1121	339
63	1890	27	1129	346
64	1920	26	1165	323
65	1950	26	1188	311
66	1980	29	1205	300
67	2010	28	1217	299
68	2040	27	1219	310
69	2070	25	1220	326
70	2100	25	1220	341
71	2130	24	1220	349
72	2160	24	1245	334
73	2190	24	1273	316
74	2220	27	1291	306
75	2250	25	1308	294
76	2280	25	1311	305
77	2310	23	1312	313
78	2340	24	1312	324
79	2370	25	1312	337
80	2400	25	1317	346
81	2430	26	1348	321
82	2460	22	1379	297
83	2490	21	1400	277
84	2520	21	1411	279
85	2550	20	1419	286
86	2580	21	1419	298
87	2610	22	1419	309
88	2640	22	1419	320
89	2670	24	1428	318
90	2700	26	1464	289
91	2730	25	1497	269
92	2760	20	1511	264
93	2790	26	1518	258
94	2820	27	1524	254
95	2850	26	1525	263
96	2880	25	1525	272
97	2910	25	1525	280
98	2940	25	1538	273
99	2970	30	1565	252
100	3000	30	1594	227
101	3030	30	1609	218
102	3060	31	1614	218
103	3090	31	1615	220
104	3120	30	1616	226
105	3150	30	1616	237
106	3180	27	1618	243
107	3210	25	1637	227
108	3240	24	1657	216
109	3270	26	1671	207
110	3300	21	1685	199
111	3330	21	1689	197
112	3360	22	1690	205
113	3390	23	1690	215
114	3420	23	1690	223
115	3450	23	1694	221
116	3480	19	1705	217
117	3510	18	1727	197
118	3540	18	1741	187
119	3570	17	1749	195
120	3600	18	1758	191
121	3630	19	1759	193
122	3660	19	1759	197
123	3690	19	1759	206
124	3720	19	1769	203
125	3750	20	1787	188
126	3780	18	1811	167
127	3810	15	1818	171
128	3840	15	1829	168
129	3870	15	1831	173
130	3900	14	1831	178
131	3930	15	1831	186
132	3960	14	1832	189
133	3990	14	1844	185
134	4020	12	1870	162
135	4050	10	1887	152
136	4080	10	1898	147
137	4110	8	1900	150
138	4140	7	1901	155
139	4170	7	1901	163
140	4200	7	1901	170
141	4230	7	1904	173
142	4260	6	1918	171
143	4290	7	1933	165
144	4320	8	1941	164
145	4350	8	1950	160
146	4380	9	1952	158
147	4410	11	1952	159
148	4440	11	1952	163
149	4470	10	1952	167
150	4500	10	1960	165
151	4530	12	1972	155
152	4560	17	1987	140
