	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.012812414773005614	-0.0066948750535900225	0.027873191225858605	0.012812414773005614	-0.0066948750535900225	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.949920065772616	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.5246045694200352	0.0	0.0	1.0	0.0	0.0
1	30	2439.2478226745043	0.0	5.0	14.0	41.15789488821993	528.2156895862622	1911.0321330882437	0.749553014577027	0.0	0.012003030176483348	-0.007951264335715427	0.022925804221095535	0.012003030176483348	-0.007951264335715427	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.908924284186824	0.15000000000000321	0.290000000000003	0.7000000000000118	0.5	1.0	0.0	0.588134135855546	0.524505588993981	0.03267411865864144	0.0	0.32092568064515914	0.44249265425347634	0.236581665101365
2	60	2385.076828362095	0.0	5.0	14.0	68.16384627170318	516.7554816661382	1868.3213466959578	0.7483951747068401	0.0	0.010508383976647658	-0.010939132033349274	0.019331825981152972	0.010508383976647658	-0.010939132033349274	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.68206686309122	0.1500000000000032	0.2900000000000028	0.7000000000000115	0.5	1.0	0.0	0.4774305555555556	0.5121527777777778	0.23524305555555555	0.0	0.021615538302780606	0.7013352122370214	0.2770492494601979
3	90	2316.597447103925	0.0	5.0	14.0	92.54716086893193	502.39684911008277	1814.2005979938426	0.7466192885070425	0.0	0.01865321160496422	-0.012810402313355826	0.013292837185141378	0.01865321160496422	-0.012810402313355826	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.71639537128492	0.1500000000000029	0.2900000000000007	0.7000000000000075	0.5	1.0	0.0	0.5368932038834952	0.4601941747572815	0.33300970873786406	0.0	0.3246402533651513	0.44326557080865586	0.23209417582619343
4	120	2279.477884401032	0.0	5.0	14.0	117.84892208997194	494.8695113661864	1784.608373034847	0.7448630474878202	0.0	0.011881674557711143	-0.011595557312797204	4.014811087290391e-06	0.011881674557711143	-0.011595557312797204	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.83308875877327	0.1500000000000024	0.2899999999999974	0.700000000000001	0.5	1.0	0.0	0.6742596810933941	0.38724373576309795	0.3701594533029613	0.0	0.2832844506946654	0.5052938684033195	0.2114216809020147
5	150	2250.62664712067	0.0	5.0	14.0	142.0622529974004	489.2296683469223	1761.3969787737462	0.7433042548221033	0.0	0.008143302252515847	-0.02105598874639608	-0.010062183005011171	0.008143302252515847	-0.02105598874639608	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.6963668837831	0.15000000000000197	0.2899999999999982	0.6999999999999946	0.5	1.0	0.0	0.0	0.3159947984395319	0.4083224967490247	0.0	0.4740857984838535	0.36969404922523774	0.1562201522909089
6	180	2180.9590124970396	0.0	5.0	14.0	159.6287247253675	474.8560924392711	1706.1029200577668	0.7412955660140612	0.0	0.007575744203058766	-0.011393391485916267	-0.014011167404526629	0.007575744203058766	-0.011393391485916267	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.83685217469636	0.15000000000000166	0.2899999999999987	0.6999999999999921	0.5	1.0	0.0	0.0	0.252112676056338	0.24647887323943662	0.0	0.6770132427310168	0.22652272162070544	0.09646403564827792
7	210	2143.3056042928097	0.0	5.0	14.0	179.6675989387755	467.4619633785767	1675.843640914235	0.73931810767419	0.0	0.009974798857567087	-0.017148073807098714	-0.01194171588145478	0.009974798857567087	-0.017148073807098714	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.9971421475814	0.1500000000000016	0.2899999999999988	0.6999999999999921	0.5	1.0	0.0	0.0	0.23219373219373218	0.0641025641025641	0.0	0.8283697821791624	0.12016297767919253	0.05146724014164468
8	240	2083.7743430466658	0.0	5.0	14.0	194.55572552273827	455.22989623425656	1628.5444468124103	0.7371129680958859	0.0	0.012414963269304415	-0.01753272515423135	-0.011592807449060072	0.012414963269304415	-0.01753272515423135	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	244.08341022848705	0.15000000000000174	0.2899999999999986	0.699999999999992	0.5	1.0	0.0	0.0	0.2297111416781293	0.0068775790921595595	0.0	0.9188693795489481	0.05673198499426852	0.024398635456783217
9	270	2067.4062487727765	0.0	5.0	14.0	213.38630625675907	452.4131697199924	1614.9930790527808	0.7355296396096853	0.0	0.015559216548146113	-0.021012695900525055	-0.010899942199830613	0.015559216548146113	-0.021012695900525055	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.8424684036272	0.15000000000000185	0.2899999999999984	0.699999999999993	0.5	1.0	0.0	0.0	0.22983870967741934	0.002688172043010753	0.0	0.5917564944638781	0.33054203701815343	0.07770146851796847
