	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1177	0	1
2	60	1187	9	17
3	90	1069	51	127
4	120	918	91	261
5	150	798	116	377
6	180	741	141	430
7	210	726	144	470
8	240	734	144	482
9	270	756	144	484
10	300	771	154	484
11	330	738	202	496
12	360	657	267	530
13	390	605	314	563
14	420	563	347	593
15	450	545	359	615
16	480	558	360	619
17	510	578	360	622
18	540	594	360	621
19	570	589	378	610
20	600	555	422	521
21	630	518	463	408
22	660	493	493	289
23	690	467	514	244
24	720	465	523	206
25	750	483	524	190
26	780	503	524	191
27	810	521	524	191
28	840	519	540	187
29	870	479	590	166
30	900	448	626	137
31	930	422	660	112
32	960	417	679	92
33	990	423	682	87
34	1020	429	683	82
35	1050	437	683	84
36	1080	448	685	87
37	1110	433	714	86
38	1140	395	755	80
39	1170	364	793	73
40	1200	352	815	62
41	1230	351	822	58
42	1260	361	822	58
43	1290	370	822	56
44	1320	385	822	55
45	1350	383	832	54
46	1380	358	873	48
47	1410	328	907	47
48	1440	312	930	45
49	1470	306	946	44
50	1500	306	951	43
51	1530	311	952	43
52	1560	317	952	43
53	1590	328	952	41
54	1620	324	966	40
55	1650	297	998	34
56	1680	274	1024	34
57	1710	261	1041	35
58	1740	266	1049	33
59	1770	268	1054	34
60	1800	277	1054	35
61	1830	279	1054	36
62	1860	293	1054	35
63	1890	275	1074	36
64	1920	260	1093	36
65	1950	250	1113	34
66	1980	245	1125	32
67	2010	240	1131	34
68	2040	243	1133	33
69	2070	248	1133	31
70	2100	254	1133	31
71	2130	258	1136	33
72	2160	243	1156	34
73	2190	228	1181	30
74	2220	216	1197	27
75	2250	209	1210	25
76	2280	207	1215	26
77	2310	209	1216	25
78	2340	215	1216	23
79	2370	218	1216	23
80	2400	217	1224	21
81	2430	203	1241	19
82	2460	179	1269	19
83	2490	161	1292	20
84	2520	159	1299	16
85	2550	163	1300	17
86	2580	171	1301	17
87	2610	176	1303	17
88	2640	181	1303	16
89	2670	170	1316	16
90	2700	161	1333	16
91	2730	154	1345	16
92	2760	146	1355	17
93	2790	146	1359	14
94	2820	150	1359	13
95	2850	151	1359	13
96	2880	158	1359	13
97	2910	165	1359	13
98	2940	165	1368	11
99	2970	154	1382	11
100	3000	143	1394	9
101	3030	141	1403	11
102	3060	144	1403	12
103	3090	146	1404	12
104	3120	153	1404	12
105	3150	158	1404	11
106	3180	157	1406	12
107	3210	149	1422	12
108	3240	145	1438	12
109	3270	141	1444	12
110	3300	140	1449	12
111	3330	142	1451	12
112	3360	144	1452	12
113	3390	150	1452	12
114	3420	153	1452	12
115	3450	152	1460	12
