	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	2	1183	0
2	60	21	1187	15
3	90	108	1103	50
4	120	244	966	80
5	150	336	871	107
6	180	402	818	124
7	210	430	815	130
8	240	444	830	131
9	270	447	866	131
10	300	452	888	140
11	330	482	818	204
12	360	521	720	282
13	390	557	653	332
14	420	579	629	360
15	450	596	630	371
16	480	598	648	372
17	510	602	676	372
18	540	601	697	375
19	570	593	689	407
20	600	532	616	478
21	630	415	575	520
22	660	322	549	547
23	690	259	546	566
24	720	226	568	567
25	750	212	587	567
26	780	211	608	567
27	810	207	614	580
28	840	198	563	641
29	870	153	519	698
30	900	128	507	726
31	930	111	488	756
32	960	93	501	760
33	990	90	513	763
34	1020	88	525	763
35	1050	87	545	764
36	1080	85	536	793
37	1110	76	493	850
38	1140	76	459	893
39	1170	68	444	924
40	1200	59	446	935
41	1230	57	457	938
42	1260	57	473	938
43	1290	56	485	938
44	1320	55	488	952
45	1350	55	463	1001
46	1380	48	430	1043
47	1410	47	416	1077
48	1440	45	408	1091
49	1470	44	419	1094
50	1500	46	428	1097
51	1530	46	436	1097
52	1560	46	451	1100
53	1590	47	431	1133
54	1620	48	403	1172
55	1650	47	370	1210
56	1680	45	363	1226
57	1710	46	367	1232
58	1740	45	379	1235
59	1770	45	396	1235
60	1800	45	402	1235
61	1830	45	408	1246
62	1860	48	383	1276
63	1890	46	351	1307
64	1920	47	334	1329
65	1950	45	334	1341
66	1980	43	349	1344
67	2010	42	363	1346
68	2040	43	375	1346
69	2070	41	383	1349
70	2100	45	362	1373
71	2130	47	336	1406
72	2160	43	317	1436
73	2190	42	305	1456
74	2220	39	305	1463
75	2250	40	316	1463
76	2280	39	322	1463
77	2310	38	336	1463
78	2340	40	329	1475
79	2370	40	308	1503
80	2400	37	290	1527
81	2430	37	274	1546
82	2460	38	272	1556
83	2490	38	281	1558
84	2520	37	283	1559
85	2550	36	292	1559
86	2580	37	297	1562
87	2610	36	277	1582
88	2640	32	261	1605
89	2670	33	240	1629
90	2700	33	235	1638
91	2730	31	236	1643
92	2760	30	244	1643
93	2790	30	255	1643
94	2820	30	269	1643
95	2850	29	264	1654
96	2880	27	252	1674
97	2910	30	226	1705
98	2940	32	212	1719
99	2970	28	206	1730
100	3000	28	206	1733
101	3030	27	211	1733
102	3060	26	217	1733
103	3090	27	223	1733
104	3120	25	214	1754
105	3150	24	203	1772
106	3180	23	196	1785
107	3210	22	190	1794
108	3240	21	196	1795
109	3270	21	199	1797
110	3300	21	207	1797
111	3330	22	207	1797
112	3360	22	202	1806
113	3390	21	175	1840
114	3420	20	156	1857
115	3450	17	149	1864
116	3480	18	145	1869
117	3510	19	148	1870
118	3540	19	150	1870
119	3570	20	156	1870
120	3600	20	154	1873
121	3630	20	146	1885
122	3660	21	131	1902
123	3690	20	133	1906
124	3720	19	128	1913
125	3750	21	129	1916
126	3780	21	133	1916
127	3810	21	139	1916
128	3840	20	145	1917
129	3870	20	136	1931
130	3900	20	129	1940
131	3930	20	119	1953
132	3960	18	110	1965
133	3990	18	108	1969
134	4020	17	110	1969
135	4050	17	117	1969
136	4080	16	123	1969
137	4110	16	128	1972
138	4140	18	118	1983
139	4170	16	108	2000
140	4200	16	97	2012
141	4230	16	96	2013
142	4260	14	96	2015
143	4290	13	100	2016
144	4320	13	106	2016
145	4350	13	109	2016
146	4380	13	103	2024
147	4410	13	95	2036
148	4440	10	90	2045
149	4470	10	83	2053
150	4500	9	83	2054
151	4530	9	85	2055
152	4560	8	89	2055
153	4590	9	90	2055
154	4620	9	92	2056
155	4650	8	93	2061
156	4680	8	86	2070
157	4710	8	83	2077
158	4740	9	75	2085
159	4770	9	78	2085
160	4800	9	80	2085
161	4830	10	82	2085
162	4860	10	85	2085
163	4890	10	76	2096
164	4920	10	67	2107
165	4950	10	62	2112
166	4980	9	60	2116
167	5010	9	61	2119
168	5040	8	63	2119
169	5070	8	65	2119
170	5100	7	68	2119
171	5130	7	66	2121
172	5160	7	64	2123
173	5190	6	61	2125
174	5220	5	60	2128
175	5250	4	54	2134
176	5280	4	57	2134
177	5310	5	59	2134
178	5340	5	63	2134
179	5370	4	67	2134
180	5400	4	66	2138
181	5430	4	57	2149
182	5460	5	54	2152
183	5490	4	51	2155
184	5520	5	53	2155
185	5550	5	54	2156
186	5580	6	56	2156
187	5610	6	59	2156
188	5640	6	59	2157
189	5670	8	53	2163
190	5700	7	47	2169
191	5730	8	45	2172
192	5760	8	46	2176
193	5790	7	48	2176
194	5820	6	50	2176
