	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1164	7	1
2	60	1160	32	11
3	90	1054	138	44
4	120	940	249	79
5	150	855	346	105
6	180	797	411	121
7	210	777	453	124
8	240	790	465	125
9	270	818	465	125
10	300	840	469	127
11	330	810	476	177
12	360	739	514	232
13	390	656	554	295
14	420	601	587	344
15	450	582	605	363
16	480	590	614	367
17	510	609	616	367
18	540	627	610	368
19	570	644	592	370
20	600	608	507	413
21	630	555	405	472
22	660	513	324	522
23	690	484	262	549
24	720	486	221	558
25	750	497	207	561
26	780	513	207	561
27	810	526	205	561
28	840	538	200	563
29	870	529	168	597
30	900	488	137	646
31	930	465	105	683
32	960	430	89	726
33	990	430	82	734
34	1020	453	80	738
35	1050	471	80	738
36	1080	492	79	738
37	1110	501	76	743
38	1140	463	77	795
39	1170	423	67	846
40	1200	402	55	876
41	1230	389	55	897
42	1260	390	57	901
43	1290	406	56	901
44	1320	418	57	901
45	1350	432	58	901
46	1380	439	57	905
47	1410	423	50	934
48	1440	383	45	986
49	1470	363	46	1017
50	1500	340	48	1043
51	1530	336	49	1053
52	1560	342	51	1053
53	1590	351	51	1053
54	1620	362	53	1053
55	1650	372	49	1054
56	1680	354	41	1083
57	1710	327	42	1111
58	1740	307	43	1141
59	1770	295	41	1162
60	1800	297	44	1168
61	1830	309	44	1169
62	1860	314	44	1170
63	1890	323	43	1171
64	1920	330	42	1177
65	1950	312	45	1207
66	1980	297	41	1239
67	2010	283	41	1254
68	2040	279	39	1267
69	2070	278	39	1272
70	2100	276	44	1275
71	2130	282	42	1275
72	2160	295	41	1275
73	2190	294	39	1282
74	2220	274	38	1310
75	2250	259	34	1328
76	2280	240	34	1352
77	2310	237	31	1359
78	2340	235	33	1366
79	2370	249	32	1367
80	2400	258	32	1367
81	2430	261	33	1367
82	2460	260	30	1375
83	2490	234	35	1400
84	2520	212	35	1426
85	2550	207	36	1438
86	2580	199	33	1454
87	2610	204	29	1457
88	2640	214	28	1457
89	2670	219	28	1458
90	2700	229	27	1458
91	2730	232	25	1462
92	2760	213	23	1486
93	2790	200	24	1506
94	2820	185	21	1524
95	2850	182	20	1531
96	2880	183	19	1537
97	2910	189	19	1537
98	2940	189	19	1537
99	2970	194	19	1537
100	3000	192	15	1546
101	3030	182	11	1562
102	3060	162	12	1585
103	3090	156	11	1593
104	3120	152	11	1600
105	3150	158	11	1604
106	3180	164	11	1604
107	3210	171	12	1604
108	3240	175	12	1604
109	3270	179	10	1610
110	3300	168	8	1631
111	3330	149	9	1649
112	3360	153	9	1654
113	3390	149	10	1661
114	3420	150	10	1666
115	3450	153	9	1667
116	3480	159	9	1667
117	3510	169	10	1667
118	3540	165	9	1674
119	3570	159	7	1690
120	3600	146	8	1706
121	3630	145	8	1711
122	3660	149	8	1715
123	3690	151	8	1717
124	3720	159	7	1717
125	3750	160	7	1717
126	3780	166	7	1717
127	3810	165	8	1726
128	3840	153	7	1747
129	3870	136	10	1762
