	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1172
2	60	10	23	1192
3	90	47	123	1080
4	120	75	258	954
5	150	109	354	845
6	180	128	410	795
7	210	132	439	780
8	240	133	445	785
9	270	133	448	803
10	300	136	451	827
11	330	177	457	807
12	360	247	497	717
13	390	309	536	630
14	420	344	557	591
15	450	368	574	562
16	480	376	583	561
17	510	377	585	575
18	540	377	585	595
19	570	379	571	612
20	600	418	486	586
21	630	478	388	523
22	660	529	297	471
23	690	556	238	462
24	720	565	206	460
25	750	567	200	476
26	780	567	199	497
27	810	567	195	518
28	840	571	194	527
29	870	612	163	504
30	900	667	130	459
31	930	697	111	440
32	960	727	102	423
33	990	737	98	418
34	1020	742	96	427
35	1050	742	96	442
36	1080	742	96	453
37	1110	747	95	457
38	1140	787	84	433
39	1170	835	65	390
40	1200	859	61	374
41	1230	876	62	365
42	1260	883	59	368
43	1290	885	59	373
44	1320	885	59	387
45	1350	885	55	402
46	1380	891	54	410
47	1410	937	49	373
48	1440	974	46	350
49	1470	1007	46	325
50	1500	1026	42	314
51	1530	1033	41	320
52	1560	1036	43	325
53	1590	1036	43	334
54	1620	1036	41	346
55	1650	1041	40	351
56	1680	1083	35	319
57	1710	1112	33	296
58	1740	1142	31	273
59	1770	1152	32	266
60	1800	1156	32	267
61	1830	1159	33	272
62	1860	1159	33	283
63	1890	1159	32	293
64	1920	1160	31	306
65	1950	1179	31	292
66	1980	1213	28	266
67	2010	1223	26	261
68	2040	1241	27	248
69	2070	1246	26	249
70	2100	1246	26	256
71	2130	1246	28	260
72	2160	1246	28	266
73	2190	1253	28	262
74	2220	1276	27	252
75	2250	1307	26	231
76	2280	1327	28	218
77	2310	1336	26	222
78	2340	1343	26	220
79	2370	1344	26	226
80	2400	1344	26	238
81	2430	1344	26	256
82	2460	1353	27	251
83	2490	1386	25	221
84	2520	1404	27	213
85	2550	1420	25	212
86	2580	1424	22	219
87	2610	1426	24	223
88	2640	1427	22	228
89	2670	1428	24	235
90	2700	1428	25	239
91	2730	1435	22	236
92	2760	1457	20	218
93	2790	1478	17	201
94	2820	1497	17	188
95	2850	1507	18	186
96	2880	1509	18	188
97	2910	1510	18	198
98	2940	1510	18	206
99	2970	1510	17	214
100	3000	1511	14	219
101	3030	1543	13	198
102	3060	1567	12	177
103	3090	1585	14	165
104	3120	1592	13	162
105	3150	1593	13	169
106	3180	1593	13	172
107	3210	1593	12	178
108	3240	1593	12	182
109	3270	1600	12	187
110	3300	1622	12	172
111	3330	1634	14	169
112	3360	1643	16	165
113	3390	1647	16	171
114	3420	1648	16	177
115	3450	1648	17	183
116	3480	1648	17	189
117	3510	1648	17	196
118	3540	1656	17	201
119	3570	1673	17	193
120	3600	1701	15	170
121	3630	1715	15	161
122	3660	1721	20	156
123	3690	1721	19	162
124	3720	1721	19	167
125	3750	1721	19	175
126	3780	1721	19	182
127	3810	1727	19	179
128	3840	1748	18	170
129	3870	1766	14	155
130	3900	1785	15	140
131	3930	1789	16	138
132	3960	1791	16	141
133	3990	1791	16	145
134	4020	1791	17	151
135	4050	1792	17	151
136	4080	1801	16	148
137	4110	1816	18	140
138	4140	1821	21	133
139	4170	1826	16	130
140	4200	1826	16	131
