	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	2	1174	4
2	60	14	1164	37
3	90	41	1085	124
4	120	77	959	240
5	150	101	844	358
6	180	118	786	418
7	210	123	772	449
8	240	124	780	461
9	270	124	801	463
10	300	127	839	464
11	330	198	779	478
12	360	255	704	510
13	390	285	666	543
14	420	328	606	568
15	450	340	584	594
16	480	342	593	603
17	510	342	620	605
18	540	342	633	605
19	570	349	652	580
20	600	405	599	511
21	630	465	542	410
22	660	505	505	312
23	690	539	478	243
24	720	549	475	212
25	750	550	488	198
26	780	551	515	196
27	810	551	544	196
28	840	566	546	186
29	870	626	501	172
30	900	667	471	139
31	930	702	442	124
32	960	717	440	98
33	990	718	456	92
34	1020	722	482	90
35	1050	722	502	90
36	1080	722	519	91
37	1110	739	520	87
38	1140	792	479	77
39	1170	842	429	77
40	1200	871	410	71
41	1230	890	405	70
42	1260	893	422	71
43	1290	893	433	70
44	1320	893	452	69
45	1350	893	467	68
46	1380	924	455	62
47	1410	979	411	57
48	1440	1019	376	53
49	1470	1044	351	54
50	1500	1063	345	51
51	1530	1063	354	51
52	1560	1064	367	51
53	1590	1064	380	48
54	1620	1066	396	47
55	1650	1091	387	45
56	1680	1129	362	32
57	1710	1162	338	33
58	1740	1179	328	33
59	1770	1187	336	31
60	1800	1188	347	32
61	1830	1188	358	32
62	1860	1188	377	33
63	1890	1192	378	33
64	1920	1224	363	30
65	1950	1260	340	28
66	1980	1288	317	27
67	2010	1301	314	28
68	2040	1309	311	28
69	2070	1311	314	29
70	2100	1311	327	28
71	2130	1311	338	28
72	2160	1317	351	26
73	2190	1348	328	28
74	2220	1379	300	26
75	2250	1409	270	28
76	2280	1432	252	30
77	2310	1436	257	31
78	2340	1436	266	31
79	2370	1436	275	30
80	2400	1436	281	30
81	2430	1446	283	30
82	2460	1465	273	30
83	2490	1495	248	33
84	2520	1512	244	30
85	2550	1520	243	31
86	2580	1525	246	29
87	2610	1525	250	29
88	2640	1525	261	29
89	2670	1526	266	29
90	2700	1541	256	29
91	2730	1568	236	27
92	2760	1585	221	23
93	2790	1604	204	22
94	2820	1613	205	22
95	2850	1615	210	22
96	2880	1615	220	22
97	2910	1615	233	22
98	2940	1615	242	22
99	2970	1632	236	22
100	3000	1651	222	18
101	3030	1672	206	19
102	3060	1680	203	17
103	3090	1690	197	17
104	3120	1690	203	17
105	3150	1690	209	17
106	3180	1690	219	17
107	3210	1695	220	16
108	3240	1713	205	16
109	3270	1737	182	18
110	3300	1749	173	19
111	3330	1758	168	20
112	3360	1760	171	21
113	3390	1762	175	21
114	3420	1762	183	20
115	3450	1762	189	20
116	3480	1769	188	20
117	3510	1788	180	18
118	3540	1805	170	17
119	3570	1814	167	17
120	3600	1826	158	18
121	3630	1827	162	18
122	3660	1827	168	18
123	3690	1827	177	19
124	3720	1827	184	19
125	3750	1832	187	19
126	3780	1851	176	16
127	3810	1866	167	16
128	3840	1875	165	14
129	3870	1882	163	15
130	3900	1883	167	16
131	3930	1883	174	16
132	3960	1883	178	17
133	3990	1884	179	18
134	4020	1890	178	18
135	4050	1911	163	17
136	4080	1922	153	19
137	4110	1933	145	18
138	4140	1939	144	18
139	4170	1939	151	19
140	4200	1939	158	18
141	4230	1939	161	19
142	4260	1939	167	18
143	4290	1946	163	18
144	4320	1960	149	19
145	4350	1972	140	19
146	4380	1985	127	19
147	4410	1991	123	19
148	4440	1991	128	19
149	4470	1991	133	18
150	4500	1991	139	17
151	4530	1992	148	17
152	4560	2007	137	16
153	4590	2022	123	17
154	4620	2032	119	17
155	4650	2041	112	17
156	4680	2044	113	17
157	4710	2045	116	17
158	4740	2045	118	16
159	4770	2045	121	16
160	4800	2049	122	15
161	4830	2061	114	11
162	4860	2071	103	12
163	4890	2079	97	12
164	4920	2087	92	9
165	4950	2087	92	9
166	4980	2088	94	10
167	5010	2088	94	10
168	5040	2088	97	10
169	5070	2088	106	10
170	5100	2104	95	7
171	5130	2114	85	7
172	5160	2120	82	7
173	5190	2123	83	6
174	5220	2123	85	6
175	5250	2123	87	6
176	5280	2123	89	6
177	5310	2123	94	6
178	5340	2128	89	6
179	5370	2135	84	5
180	5400	2142	78	5
181	5430	2144	77	5
182	5460	2144	80	5
183	5490	2144	84	4
184	5520	2144	87	4
185	5550	2144	88	5
186	5580	2144	91	5
187	5610	2147	93	5
188	5640	2157	85	5
189	5670	2171	75	4
190	5700	2175	73	5
191	5730	2180	69	5
192	5760	2180	71	5
193	5790	2180	72	5
194	5820	2180	74	5
195	5850	2181	77	5
196	5880	2185	76	5
197	5910	2191	73	5
198	5940	2196	70	6
199	5970	2198	69	7
200	6000	2201	69	8
201	6030	2201	72	8
202	6060	2201	76	8
203	6090	2201	78	7
204	6120	2202	80	7
205	6150	2208	75	6
206	6180	2216	69	6
207	6210	2220	71	5
208	6240	2225	69	5
209	6270	2225	71	5
210	6300	2225	73	5
211	6330	2225	74	5
212	6360	2225	76	5
213	6390	2231	73	5
214	6420	2241	67	4
215	6450	2251	59	2
216	6480	2253	60	2
217	6510	2253	60	2
218	6540	2255	59	2
219	6570	2255	61	3
220	6600	2255	62	3
221	6630	2255	63	3
222	6660	2257	63	3
223	6690	2265	56	3
224	6720	2272	50	4
225	6750	2272	52	4
226	6780	2272	59	4
227	6810	2272	61	4
228	6840	2272	66	4
229	6870	2272	67	4
230	6900	2272	68	4
231	6930	2272	71	4
232	6960	2277	66	5
233	6990	2281	60	6
234	7020	2284	60	5
235	7050	2284	61	5
236	7080	2286	59	4
237	7110	2286	59	4
238	7140	2286	60	4
239	7170	2286	65	4
240	7200	2288	65	4
241	7230	2295	60	4
242	7260	2300	53	7
243	7290	2306	47	8
244	7320	2306	48	9
245	7350	2306	50	9
246	7380	2306	53	9
247	7410	2306	54	9
248	7440	2307	55	9
249	7470	2316	49	9
250	7500	2318	51	7
251	7530	2321	49	7
252	7560	2321	53	7
253	7590	2321	55	7
254	7620	2322	55	7
255	7650	2322	59	7
256	7680	2322	63	7
257	7710	2325	61	7
258	7740	2328	58	7
259	7770	2336	54	5
