,user_parameters.time_add_tnf,user_parameters.duration_add_tnf,user_parameters.concentration_tnf,score
0,192.0,23.0,0.10500000000000001,341.6666666666667
0,817.0,25.0,0.005,3843.3333333333335
0,423.0,11.0,0.30500000000000005,399.3333333333333
0,475.0,23.0,0.10500000000000001,606.6666666666666
0,898.0,11.0,0.15500000000000003,1012.6666666666666
0,552.0,24.0,0.30500000000000005,531.6666666666666
0,100.0,27.0,0.005,3875.3333333333335
0,734.0,22.0,0.35500000000000004,973.6666666666666
0,592.0,6.0,0.15500000000000003,512.3333333333334
0,262.0,8.0,0.055,1819.6666666666667
0,606.0,19.0,0.35500000000000004,451.0
0,557.0,22.0,0.255,558.3333333333334
0,475.0,12.0,0.35500000000000004,573.0
0,391.0,27.0,0.20500000000000002,383.0
0,725.0,14.0,0.20500000000000002,1103.0
0,441.0,21.0,0.15500000000000003,383.0
0,840.0,25.0,0.055,1566.3333333333333
0,848.0,15.0,0.055,2160.3333333333335
0,726.0,8.0,0.35500000000000004,1160.6666666666667
0,636.0,5.0,0.005,3861.6666666666665
0,20.0,14.0,0.35500000000000004,533.6666666666666
0,820.0,12.0,0.20500000000000002,1034.0
0,149.0,10.0,0.20500000000000002,429.6666666666667
0,791.0,24.0,0.005,3767.3333333333335
0,815.0,15.0,0.005,3742.3333333333335
0,145.0,6.0,0.15500000000000003,382.6666666666667
0,785.0,5.0,0.35500000000000004,1057.3333333333333
0,563.0,13.0,0.10500000000000001,618.6666666666666
0,231.0,10.0,0.10500000000000001,418.3333333333333
0,26.0,15.0,0.20500000000000002,594.3333333333334
0,698.0,11.0,0.255,1093.0
0,234.0,16.0,0.30500000000000005,408.0
0,717.0,29.0,0.10500000000000001,1020.6666666666666
0,680.0,29.0,0.35500000000000004,752.0
0,48.0,22.0,0.10500000000000001,901.6666666666666
0,865.0,28.0,0.10500000000000001,1014.0
0,53.0,26.0,0.10500000000000001,843.0
0,130.0,6.0,0.35500000000000004,575.0
0,852.0,20.0,0.35500000000000004,876.6666666666666
0,310.0,11.0,0.255,313.6666666666667
0,314.0,28.0,0.255,324.0
0,358.0,24.0,0.10500000000000001,456.0
0,202.0,15.0,0.30500000000000005,410.6666666666667
0,427.0,18.0,0.005,3856.3333333333335
0,542.0,20.0,0.15500000000000003,510.6666666666667
0,310.0,26.0,0.20500000000000002,314.6666666666667
0,590.0,15.0,0.255,465.0
0,103.0,22.0,0.35500000000000004,661.6666666666666
0,781.0,13.0,0.055,2244.0
0,454.0,26.0,0.055,941.3333333333334
0,155.0,15.0,0.055,642.3333333333334
0,785.0,26.0,0.20500000000000002,1011.0
0,206.0,19.0,0.30500000000000005,404.6666666666667
0,654.0,22.0,0.255,565.0
0,438.0,10.0,0.10500000000000001,472.6666666666667
0,581.0,15.0,0.15500000000000003,553.0
0,472.0,8.0,0.20500000000000002,727.0
0,574.0,5.0,0.005,3808.0
0,139.0,9.0,0.30500000000000005,507.6666666666667
0,352.0,18.0,0.055,1144.6666666666667
0,560.0,12.0,0.30500000000000005,526.3333333333334
0,213.0,11.0,0.15500000000000003,335.3333333333333
0,281.0,8.0,0.30500000000000005,412.6666666666667
0,14.0,22.0,0.055,1348.6666666666667
0,132.0,13.0,0.255,460.6666666666667
0,884.0,16.0,0.20500000000000002,955.6666666666666
0,35.0,22.0,0.30500000000000005,556.6666666666666
0,706.0,7.0,0.255,1143.0
0,665.0,14.0,0.005,3921.6666666666665
0,757.0,7.0,0.055,3113.0
0,733.0,24.0,0.30500000000000005,999.3333333333334
0,519.0,20.0,0.10500000000000001,648.3333333333334
0,857.0,6.0,0.20500000000000002,1021.3333333333334
0,417.0,5.0,0.255,413.6666666666667
0,782.0,22.0,0.10500000000000001,1060.0
0,101.0,22.0,0.005,3879.0
0,566.0,11.0,0.055,1994.0
0,112.0,16.0,0.20500000000000002,667.3333333333334
0,691.0,6.0,0.35500000000000004,960.6666666666666
0,334.0,28.0,0.055,579.0
0,165.0,15.0,0.20500000000000002,399.0
0,594.0,25.0,0.15500000000000003,523.0
0,480.0,26.0,0.055,1134.0
0,795.0,13.0,0.005,3772.3333333333335
0,201.0,6.0,0.20500000000000002,371.0
0,19.0,10.0,0.35500000000000004,558.0
0,736.0,25.0,0.35500000000000004,963.6666666666666
0,588.0,17.0,0.15500000000000003,522.6666666666666
0,829.0,8.0,0.15500000000000003,1110.6666666666667
0,385.0,27.0,0.20500000000000002,408.6666666666667
0,316.0,22.0,0.30500000000000005,321.0
0,159.0,17.0,0.055,575.3333333333334
0,469.0,7.0,0.005,3824.0
0,510.0,11.0,0.10500000000000001,655.6666666666666
0,712.0,9.0,0.005,3886.3333333333335
0,243.0,19.0,0.30500000000000005,364.0
0,349.0,12.0,0.15500000000000003,519.6666666666666
0,878.0,20.0,0.10500000000000001,1010.0
0,877.0,21.0,0.15500000000000003,977.6666666666666
0,94.0,23.0,0.255,620.3333333333334
