,test,best result,evaluations
0,test12,5.54058771553535,300
1,test12,1.7036564993143632,625
2,test12,1.458892833200738,1250
3,test12,1.268895826052136,2500
4,test12,1.268895826052136,5000
5,test12,1.268895826052136,10000
6,test18,6.728749747156793,300
7,test18,6.211772584060477,625
8,test18,1.1899974059005656,1250
9,test18,0.7930306600632185,2500
10,test18,0.6791241953678057,5000
11,test18,0.6791241953678057,10000
12,test24,4.889074119762567,300
13,test24,1.7876304974652364,625
14,test24,1.7876304974652364,1250
15,test24,1.2158206590550176,2500
16,test24,1.115786767595377,5000
17,test24,1.0419201079763023,10000
18,test10,3.48360334444594,300
19,test10,1.8023220386235423,625
20,test10,1.5653011698201116,1250
21,test10,1.2397885497955436,2500
22,test10,1.1053515912719023,5000
23,test10,1.1053515912719023,10000
24,test19,3.832272983996341,300
25,test19,1.8036552901414704,625
26,test19,1.8036552901414704,1250
27,test19,1.648563897809728,2500
28,test19,1.453385299995346,5000
29,test19,1.2845807426471598,10000
30,test15,4.5197790902349135,300
31,test15,3.0657595785103453,625
32,test15,2.4112143928427363,1250
33,test15,1.384756241924102,2500
34,test15,1.0819510409799322,5000
35,test15,1.0819510409799322,10000
36,test8,14.452555974464572,300
37,test8,4.33747796881189,625
38,test8,3.5099505344532598,1250
39,test8,2.1547048903487966,2500
40,test8,1.46488570732283,5000
41,test8,1.2912463316243776,10000
42,test7,6.647803133390485,300
43,test7,2.610094294146436,625
44,test7,1.6743336626789451,1250
45,test7,1.3814754979354575,2500
46,test7,1.3280988426748213,5000
47,test7,1.2784505279617429,10000
48,test25,13.712747771408525,300
49,test25,8.669737342425696,625
50,test25,2.0778146922434417,1250
51,test25,1.245510246806221,2500
52,test25,1.245510246806221,5000
53,test25,1.145442313730521,10000
54,test3,4.8251623775130765,300
55,test3,3.2968589919375044,625
56,test3,1.7102002950631214,1250
57,test3,1.4970684642712362,2500
58,test3,1.1000341746436189,5000
59,test3,1.0994810221659606,10000
60,test11,4.2316601369142965,300
61,test11,2.8873018898164124,625
62,test11,1.849110215406307,1250
63,test11,1.506761239146034,2500
64,test11,1.4963400091048893,5000
65,test11,1.155104215111477,10000
66,test2,15.698452940964602,300
67,test2,10.228625735598678,625
68,test2,3.4211563035257804,1250
69,test2,1.5916290271124476,2500
70,test2,1.3412456358940992,5000
71,test2,1.275951830791487,10000
72,test4,5.254111783647876,300
73,test4,4.620226933310764,625
74,test4,2.305594158534822,1250
75,test4,1.2506266468220195,2500
76,test4,1.2506266468220195,5000
77,test4,1.2339442868634911,10000
78,test28,7.428848554790933,300
79,test28,2.8711999797061862,625
80,test28,2.1200433320928385,1250
81,test28,1.2607745023694723,2500
82,test28,1.2062474423090088,5000
83,test28,1.2062474423090088,10000
84,test20,4.953924056962928,300
85,test20,4.5837439578607055,625
86,test20,3.4154544054088976,1250
87,test20,1.637658457678864,2500
88,test20,1.3050252646938585,5000
89,test20,1.2754216483559657,10000
90,test9,11.10220949802644,300
91,test9,4.226972882920995,625
92,test9,1.3149850772359293,1250
93,test9,1.3149850772359293,2500
94,test9,1.3149850772359293,5000
95,test9,1.1224490512440912,10000
96,test23,5.578081677030156,300
97,test23,3.1029294312563738,625
98,test23,2.5267596237573953,1250
99,test23,1.5597947458362986,2500
100,test23,1.4934457754261676,5000
101,test23,1.1825449414790827,10000
102,test5,4.845038466837454,300
103,test5,2.608901260629084,625
104,test5,2.5650213525455565,1250
105,test5,1.7933092727721944,2500
106,test5,1.255554979021394,5000
107,test5,1.1444793196748686,10000
108,test26,21.678288792438888,300
109,test26,3.6529329905505215,625
110,test26,3.6529329905505215,1250
111,test26,1.8390730883196202,2500
112,test26,1.4117417224287951,5000
113,test26,1.222903399196124,10000
114,test17,11.866364473670025,300
115,test17,7.748951160262086,625
116,test17,2.0891647061940266,1250
117,test17,1.516875928268153,2500
118,test17,1.4526178336587088,5000
119,test17,1.218696807988988,10000
120,test27,9.252078206441855,300
121,test27,3.368127162122883,625
122,test27,2.0533649240143417,1250
123,test27,1.7027110052341594,2500
124,test27,1.167756281500355,5000
125,test27,1.167756281500355,10000
126,test13,14.971108193522667,300
127,test13,7.31488692941862,625
128,test13,5.842635807431036,1250
129,test13,1.6452038892226932,2500
130,test13,1.5498423215660009,5000
131,test13,1.210706304012634,10000
132,test6,3.4554574142419834,300
133,test6,2.619221195266803,625
134,test6,1.5292222967634757,1250
135,test6,1.0545009719983882,2500
136,test6,1.0545009719983882,5000
137,test6,1.0545009719983882,10000
138,test1,11.217655433839557,300
139,test1,3.9705118030075126,625
140,test1,1.652495507367452,1250
141,test1,1.2515940434572699,2500
142,test1,1.0784312379154926,5000
143,test1,0.7647066405712309,10000
144,test16,11.222594340558176,300
145,test16,4.635896901212966,625
146,test16,2.5593099827732058,1250
147,test16,1.9658748881320351,2500
148,test16,1.553156907744894,5000
149,test16,1.5204972565896566,10000
150,test21,8.04491556232405,300
151,test21,5.685420140079873,625
152,test21,2.7939626407283433,1250
153,test21,1.3289379933193262,2500
154,test21,1.2906477090332151,5000
155,test21,1.2906477090332151,10000
156,test22,5.54809305604468,300
157,test22,4.586779732981254,625
158,test22,1.7988241985111095,1250
159,test22,1.6038973109825383,2500
160,test22,1.2218205057513205,5000
161,test22,1.1805551075330187,10000
162,test14,12.385730730041725,300
163,test14,2.6892359170482343,625
164,test14,1.835620498533936,1250
165,test14,1.835620498533936,2500
166,test14,1.3917788225015522,5000
167,test14,1.302298532547707,10000
