,test,best result,evaluations
0,test29,4.6740974176747265,300
1,test29,3.6607084597283888,625
2,test29,1.7758304049647164,1250
3,test29,1.1208593722628544,2500
4,test29,0.9806083873471284,5000
5,test29,0.9161428293379354,10000
6,test30,3.925336213881669,300
7,test30,1.7530886004676731,625
8,test30,1.36782897839511,1250
9,test30,1.2977038516924686,2500
10,test30,0.6761291274156949,5000
11,test30,0.6761291274156949,10000
12,test12,6.6776249142046264,300
13,test12,1.7664383136021338,625
14,test12,1.2460309169282144,1250
15,test12,1.0231885904127933,2500
16,test12,0.9235131490470284,5000
17,test12,0.7533068626827951,10000
18,test18,5.931644579564166,300
19,test18,3.3348787588834896,625
20,test18,1.545016293439649,1250
21,test18,1.1749705443212597,2500
22,test18,1.0284999206555243,5000
23,test18,0.5937958023934453,10000
24,test24,5.7437790003276845,300
25,test24,2.226062502338137,625
26,test24,1.5899518288523051,1250
27,test24,1.2096151061485554,2500
28,test24,1.0393600836413563,5000
29,test24,0.8793677844990233,10000
30,test10,6.8351541670312015,300
31,test10,2.6683792747745194,625
32,test10,1.5947653740442849,1250
33,test10,1.0930426724581772,2500
34,test10,1.04716207206269,5000
35,test10,0.8836058483336079,10000
36,test19,3.2209552264703203,300
37,test19,2.375810108803841,625
38,test19,1.1660035163547524,1250
39,test19,1.1378266538723445,2500
40,test19,0.8438903969410378,5000
41,test19,0.7711469343534221,10000
42,test15,7.613015452556031,300
43,test15,1.3470156822751371,625
44,test15,1.252037194877626,1250
45,test15,1.0737797852750122,2500
46,test15,0.8694457337347392,5000
47,test15,0.8319931811484829,10000
48,test8,3.0874144635830865,300
49,test8,1.6596247915208484,625
50,test8,1.3441990462747324,1250
51,test8,1.098262739995744,2500
52,test8,0.7367498542125077,5000
53,test8,0.7067119746675234,10000
54,test7,5.2965143292759365,300
55,test7,2.9850561018189863,625
56,test7,1.8120632278374085,1250
57,test7,1.0899684353080634,2500
58,test7,1.0766987171015383,5000
59,test7,0.8154936389913725,10000
60,test25,4.055246144607988,300
61,test25,2.547177480259477,625
62,test25,1.8354004389208445,1250
63,test25,1.2228272307406034,2500
64,test25,1.0802137784125565,5000
65,test25,0.8352955999084419,10000
66,test3,3.1870600014318837,300
67,test3,1.6566543476196902,625
68,test3,1.4524485074005318,1250
69,test3,1.3009143439798487,2500
70,test3,1.1543441139469732,5000
71,test3,1.078881790250572,10000
72,test11,2.1893325333117213,300
73,test11,1.4188961391453148,625
74,test11,1.2595869588509527,1250
75,test11,1.0359254903114037,2500
76,test11,0.6557942328687292,5000
77,test11,0.6557942328687292,10000
78,test2,3.665776587043162,300
79,test2,1.3831692031455896,625
80,test2,1.1848342053961924,1250
81,test2,1.0589481246422026,2500
82,test2,0.6816263383096184,5000
83,test2,0.6694952298787165,10000
84,test4,5.1816758029521655,300
85,test4,2.481746061335869,625
86,test4,1.3519338371862424,1250
87,test4,1.3374939585871104,2500
88,test4,1.3009225750317457,5000
89,test4,0.9399052955084652,10000
90,test28,5.0413050620858115,300
91,test28,1.8526376789159376,625
92,test28,1.2738116408168654,1250
93,test28,1.1442547107202603,2500
94,test28,0.9648854606307912,5000
95,test28,0.9453107195311388,10000
96,test20,6.038072444258107,300
97,test20,3.611238451354267,625
98,test20,1.7343665263932049,1250
99,test20,1.1126522226209437,2500
100,test20,1.0273600113658743,5000
101,test20,0.4659354061246512,10000
102,test9,1.7994857919742142,300
103,test9,1.6766768115651944,625
104,test9,1.1570167221150909,1250
105,test9,1.090028790052606,2500
106,test9,1.0579330121638402,5000
107,test9,0.9591182276439186,10000
108,test23,6.323204283781871,300
109,test23,2.342043766319132,625
110,test23,1.2443990618587322,1250
111,test23,1.0295754090095,2500
112,test23,0.9608459585794968,5000
113,test23,0.8559138664839954,10000
114,test5,3.6390495873017232,300
115,test5,2.7695587028994617,625
116,test5,1.1796389755544738,1250
117,test5,1.1796389755544738,2500
118,test5,1.0997003921163848,5000
119,test5,0.9988681196486886,10000
120,test26,5.964808405519707,300
121,test26,2.3448765862915586,625
122,test26,1.1641764049129983,1250
123,test26,1.0094906520845937,2500
124,test26,0.8752790082517679,5000
125,test26,0.6672364044261294,10000
126,test17,3.699696038461768,300
127,test17,2.163669535989196,625
128,test17,1.5524188316398295,1250
129,test17,1.274824582211073,2500
130,test17,1.0612619688540852,5000
131,test17,0.9743311370314348,10000
132,test27,5.2582220220560245,300
133,test27,2.769192499553557,625
134,test27,1.6171581399096093,1250
135,test27,1.1541031465085845,2500
136,test27,0.8554479369367263,5000
137,test27,0.7351227636824466,10000
138,test13,3.914992039027773,300
139,test13,1.7397827515036302,625
140,test13,1.2920748614205768,1250
141,test13,0.9095347406129871,2500
142,test13,0.9095347406129871,5000
143,test13,0.8131169108754707,10000
144,test6,6.884917756235902,300
145,test6,2.45287174452542,625
146,test6,1.794074892232609,1250
147,test6,1.068828405415018,2500
148,test6,0.8915816712488516,5000
149,test6,0.8139888189689413,10000
150,test1,3.8271665652754585,300
151,test1,2.2080023645733267,625
152,test1,1.3320818147803741,1250
153,test1,1.0640175228262438,2500
154,test1,0.9900775754046204,5000
