,test,viable volume,non-viable volume,best result
0,test29,97,3,-0.9828722010320984
1,test30,84,16,-1.005540554098881
2,test12,92,8,-0.9680174648630728
3,test18,89,11,-0.9090995066554912
4,test24,92,8,-0.9586021241571588
5,test10,90,10,-0.7667514027250458
6,test19,95,5,-0.9878941116124472
7,test15,90,10,-0.9775030250851424
8,test8,98,2,-0.9108562341796772
9,test7,91,9,-0.7475765103620191
10,test25,89,11,-1.0282969582233696
11,test3,93,7,-0.9333661230470344
12,test11,91,9,-1.015665624296591
13,test2,91,9,-0.8768343120111728
14,test4,89,11,-0.8484314458014802
15,test28,81,19,-0.9756816339372368
16,test20,84,16,-0.907991921908966
17,test9,89,11,-1.0173072901517677
18,test23,88,12,-0.9496739089254924
19,test5,92,8,-1.0187751588756049
20,test26,91,9,-0.9590242734442671
21,test17,81,19,-1.0181016097892657
22,test27,96,4,-1.0105289133256543
23,test13,91,9,-0.9069587499743508
24,test6,85,15,-0.9610622021600032
25,test1,88,12,-1.0277737189155354
26,test16,83,17,-0.984288206021408
27,test21,91,9,-0.7078844993938713
28,test22,90,10,-0.9718638581567006
29,test14,88,12,-0.9640227379306759
