,test,viable volume,non-viable volume,best result
0,test29,95,5,-1.00643810885323
1,test30,92,8,-1.0272148082643815
2,test12,95,5,-1.003660485306797
3,test18,96,4,-1.026970500852767
4,test24,95,5,-1.0225935227233791
5,test10,92,8,-1.0188995835653425
6,test19,98,2,-1.0240662721324931
7,test15,87,13,-1.0285912193468458
8,test8,95,5,-1.029700085407392
9,test7,94,6,-1.015481069341927
10,test25,88,12,-1.0190722118585065
11,test3,90,10,-1.0238446620218062
12,test11,87,13,-1.008656346825106
13,test2,89,11,-1.028548711761286
14,test4,96,4,-0.91884511143628
15,test28,92,8,-1.0299625279042872
16,test20,88,12,-1.0288414933814412
17,test9,93,7,-1.010159923568238
18,test23,98,2,-1.0273110290282188
19,test5,93,7,-1.0223647267214704
20,test26,94,6,-1.0290888121663244
21,test17,92,8,-1.0307290729376035
22,test27,94,6,-0.9951555667789596
23,test13,88,12,-1.028932377118109
24,test6,94,6,-1.022506064308174
25,test1,91,9,-1.0258198834384318
26,test16,94,6,-1.0090418482399717
27,test21,93,7,-1.0232056886403356
28,test22,89,11,-1.0175466198791747
29,test14,91,9,-0.9853132732500556
