,test,viable volume,non-viable volume,best result
0,test12,9,91,-0.948970737888032
1,test18,5,95,-0.4126474647545452
2,test24,9,91,-0.9581759885833576
3,test10,10,90,-0.824545926580773
4,test19,8,92,-1.0298443338328858
5,test15,7,93,-0.9405487765946624
6,test8,6,94,-0.8643944770368124
7,test7,6,94,-1.0181239802840862
8,test25,6,94,-0.8237288164561364
9,test3,4,96,-0.8045587247539692
10,test11,4,96,-0.3345934613631884
11,test2,5,95,-0.9329899221184884
12,test4,6,94,-0.8602559065991102
13,test20,5,95,-1.0240294272939996
14,test9,9,91,-0.8222196277597882
15,test23,10,90,-0.9538633087873248
16,test5,7,93,-1.0012465568282194
17,test17,5,95,-0.5684380938497188
18,test13,5,95,-0.7523159213112579
19,test6,6,94,-0.9243449221682578
20,test1,6,94,-0.8495966100244576
21,test16,6,94,-0.996636383694069
22,test21,5,95,-0.8355259363681782
23,test22,10,90,-0.9649615660689592
24,test14,8,92,-0.9306045722769918
