,test,best result,evaluations
0,test29,-1.0185275270993008,300
1,test29,-1.0185275270993008,625
2,test29,-1.0185275270993008,1250
3,test29,-1.0185275270993008,2500
4,test29,-1.0185275270993008,5000
5,test29,-1.0185275270993008,10000
6,test30,-0.9398534159609137,300
7,test30,-0.9398534159609137,625
8,test30,-0.9398534159609137,1250
9,test30,-0.9398534159609137,2500
10,test30,-0.9398534159609137,5000
11,test30,-0.9398534159609137,10000
12,test12,-0.9675411375612456,300
13,test12,-0.9675411375612456,625
14,test12,-0.9675411375612456,1250
15,test12,-0.9675411375612456,2500
16,test12,-0.9675411375612456,5000
17,test12,-0.9675411375612456,10000
18,test18,-0.9524893472896804,300
19,test18,-0.9524893472896804,625
20,test18,-0.9524893472896804,1250
21,test18,-0.9524893472896804,2500
22,test18,-0.9524893472896804,5000
23,test18,-0.9524893472896804,10000
24,test24,-0.9842298656127928,300
25,test24,-0.9842298656127928,625
26,test24,-0.9842298656127928,1250
27,test24,-0.9842298656127928,2500
28,test24,-0.9842298656127928,5000
29,test24,-0.9842298656127928,10000
30,test10,-0.8086605774043463,300
31,test10,-0.8086605774043463,625
32,test10,-0.8086605774043463,1250
33,test10,-0.8086605774043463,2500
34,test10,-0.8086605774043463,5000
35,test10,-0.8086605774043463,10000
36,test19,-0.8465128439219243,300
37,test19,-0.8465128439219243,625
38,test19,-0.8465128439219243,1250
39,test19,-0.8465128439219243,2500
40,test19,-0.8465128439219243,5000
41,test19,-0.8465128439219243,10000
42,test15,-0.7563256728375511,300
43,test15,-0.7563256728375511,625
44,test15,-0.7563256728375511,1250
45,test15,-0.7563256728375511,2500
46,test15,-0.7563256728375511,5000
47,test15,-0.7563256728375511,10000
48,test8,-0.9702488306371472,300
49,test8,-0.9702488306371472,625
50,test8,-0.9702488306371472,1250
51,test8,-0.9702488306371472,2500
52,test8,-0.9702488306371472,5000
53,test8,-0.9702488306371472,10000
54,test7,-0.7529040840937423,300
55,test7,-0.7529040840937423,625
56,test7,-0.7529040840937423,1250
57,test7,-0.7529040840937423,2500
58,test7,-0.7529040840937423,5000
59,test7,-0.7529040840937423,10000
60,test25,-0.9971603213316408,300
61,test25,-0.9971603213316408,625
62,test25,-0.9971603213316408,1250
63,test25,-0.9971603213316408,2500
64,test25,-0.9971603213316408,5000
65,test25,-0.9971603213316408,10000
66,test3,-1.018018316925633,300
67,test3,-1.018018316925633,625
68,test3,-1.018018316925633,1250
69,test3,-1.018018316925633,2500
70,test3,-1.018018316925633,5000
71,test3,-1.018018316925633,10000
72,test11,-0.9874968342321192,300
73,test11,-0.9874968342321192,625
74,test11,-0.9874968342321192,1250
75,test11,-0.9874968342321192,2500
76,test11,-0.9874968342321192,5000
77,test11,-0.9874968342321192,10000
78,test2,-1.014427006475524,300
79,test2,-1.014427006475524,625
80,test2,-1.014427006475524,1250
81,test2,-1.014427006475524,2500
82,test2,-1.014427006475524,5000
83,test2,-1.014427006475524,10000
84,test4,-0.8221120473997157,300
85,test4,-0.8221120473997157,625
86,test4,-0.8221120473997157,1250
87,test4,-0.8221120473997157,2500
88,test4,-0.8221120473997157,5000
89,test4,-0.8221120473997157,10000
90,test28,-0.8678539001505591,300
91,test28,-0.8678539001505591,625
92,test28,-0.8678539001505591,1250
93,test28,-0.8678539001505591,2500
94,test28,-0.8678539001505591,5000
95,test28,-0.8678539001505591,10000
96,test20,-0.7957778629997752,300
97,test20,-0.7957778629997752,625
98,test20,-0.7957778629997752,1250
99,test20,-0.7957778629997752,2500
100,test20,-0.7957778629997752,5000
101,test20,-0.7957778629997752,10000
102,test9,-0.8823823287909413,300
103,test9,-0.8823823287909413,625
104,test9,-0.8823823287909413,1250
105,test9,-0.8823823287909413,2500
106,test9,-0.8823823287909413,5000
107,test9,-0.8823823287909413,10000
108,test23,-0.8577398699451775,300
109,test23,-0.8577398699451775,625
110,test23,-0.8577398699451775,1250
111,test23,-0.8577398699451775,2500
112,test23,-0.8577398699451775,5000
113,test23,-0.8577398699451775,10000
114,test5,-0.9445414394681876,300
115,test5,-0.9445414394681876,625
116,test5,-0.9445414394681876,1250
117,test5,-0.9445414394681876,2500
118,test5,-0.9445414394681876,5000
119,test5,-0.9445414394681876,10000
120,test26,-1.0048833179187515,300
121,test26,-1.0048833179187515,625
122,test26,-1.0048833179187515,1250
123,test26,-1.0048833179187515,2500
124,test26,-1.0048833179187515,5000
125,test26,-1.0048833179187515,10000
126,test17,-0.9849355711943923,300
127,test17,-0.9849355711943923,625
128,test17,-0.9849355711943923,1250
129,test17,-0.9849355711943923,2500
130,test17,-0.9849355711943923,5000
131,test17,-0.9849355711943923,10000
132,test27,-1.0204282264682658,300
133,test27,-1.0204282264682658,625
134,test27,-1.0204282264682658,1250
135,test27,-1.0204282264682658,2500
136,test27,-1.0204282264682658,5000
137,test27,-1.0204282264682658,10000
138,test13,-0.80826914009646,300
139,test13,-0.80826914009646,625
140,test13,-0.80826914009646,1250
141,test13,-0.80826914009646,2500
142,test13,-0.80826914009646,5000
143,test13,-0.80826914009646,10000
144,test6,-0.6909821100452995,300
145,test6,-0.6909821100452995,625
146,test6,-0.6909821100452995,1250
147,test6,-0.6909821100452995,2500
148,test6,-0.6909821100452995,5000
149,test6,-0.6909821100452995,10000
150,test1,-1.008765063050887,300
151,test1,-1.008765063050887,625
152,test1,-1.008765063050887,1250
153,test1,-1.008765063050887,2500
154,test1,-1.008765063050887,5000
155,test1,-1.008765063050887,10000
156,test16,-0.8491685897700821,300
157,test16,-0.8491685897700821,625
158,test16,-0.8491685897700821,1250
159,test16,-0.8491685897700821,2500
160,test16,-0.8491685897700821,5000
161,test16,-0.8491685897700821,10000
162,test21,-1.024512775370442,300
163,test21,-1.024512775370442,625
164,test21,-1.024512775370442,1250
165,test21,-1.024512775370442,2500
166,test21,-1.024512775370442,5000
167,test21,-1.024512775370442,10000
168,test22,-0.9505021249358832,300
169,test22,-0.9505021249358832,625
170,test22,-0.9505021249358832,1250
171,test22,-0.9505021249358832,2500
172,test22,-0.9505021249358832,5000
173,test22,-0.9505021249358832,10000
174,test14,-0.9123601472346566,300
175,test14,-0.9123601472346566,625
176,test14,-0.9123601472346566,1250
177,test14,-0.9123601472346566,2500
178,test14,-0.9123601472346566,5000
179,test14,-0.9123601472346566,10000
