,test,best result,evaluations
0,test29,-0.9937858906299116,300
1,test29,-0.9937858906299116,625
2,test29,-0.9937858906299116,1250
3,test29,-0.9937858906299116,2500
4,test29,-0.9937858906299116,5000
5,test29,-0.9937858906299116,10000
6,test30,-1.0101039869029942,300
7,test30,-1.0101039869029942,625
8,test30,-1.0101039869029942,1250
9,test30,-1.0101039869029942,2500
10,test30,-1.0101039869029942,5000
11,test30,-1.0101039869029942,10000
12,test12,-1.0279953073630586,300
13,test12,-1.0279953073630586,625
14,test12,-1.0279953073630586,1250
15,test12,-1.0279953073630586,2500
16,test12,-1.0279953073630586,5000
17,test12,-1.0279953073630586,10000
18,test18,-1.0147745975193745,300
19,test18,-1.0147745975193745,625
20,test18,-1.0147745975193745,1250
21,test18,-1.0147745975193745,2500
22,test18,-1.0147745975193745,5000
23,test18,-1.0147745975193745,10000
24,test24,-1.0007070916629333,300
25,test24,-1.0007070916629333,625
26,test24,-1.0007070916629333,1250
27,test24,-1.0007070916629333,2500
28,test24,-1.0007070916629333,5000
29,test24,-1.0007070916629333,10000
30,test10,-1.0293435883512678,300
31,test10,-1.0293435883512678,625
32,test10,-1.0293435883512678,1250
33,test10,-1.0293435883512678,2500
34,test10,-1.0293435883512678,5000
35,test10,-1.0293435883512678,10000
36,test19,-1.0306211528850333,300
37,test19,-1.0306211528850333,625
38,test19,-1.0306211528850333,1250
39,test19,-1.0306211528850333,2500
40,test19,-1.0306211528850333,5000
41,test19,-1.0306211528850333,10000
42,test15,-0.975422268912408,300
43,test15,-0.975422268912408,625
44,test15,-0.975422268912408,1250
45,test15,-0.975422268912408,2500
46,test15,-0.975422268912408,5000
47,test15,-0.975422268912408,10000
48,test8,-1.0153610197204053,300
49,test8,-1.0153610197204053,625
50,test8,-1.0153610197204053,1250
51,test8,-1.0153610197204053,2500
52,test8,-1.0153610197204053,5000
53,test8,-1.0153610197204053,10000
54,test7,-0.9947359877519896,300
55,test7,-0.9947359877519896,625
56,test7,-0.9947359877519896,1250
57,test7,-0.9947359877519896,2500
58,test7,-0.9947359877519896,5000
59,test7,-0.9947359877519896,10000
60,test25,-0.97837897573248,300
61,test25,-0.97837897573248,625
62,test25,-0.97837897573248,1250
63,test25,-0.97837897573248,2500
64,test25,-0.97837897573248,5000
65,test25,-0.97837897573248,10000
66,test3,-1.023817946302957,300
67,test3,-1.023817946302957,625
68,test3,-1.023817946302957,1250
69,test3,-1.023817946302957,2500
70,test3,-1.023817946302957,5000
71,test3,-1.023817946302957,10000
72,test11,-0.8508309880479633,300
73,test11,-0.8508309880479633,625
74,test11,-0.8508309880479633,1250
75,test11,-0.8508309880479633,2500
76,test11,-0.8508309880479633,5000
77,test11,-0.8508309880479633,10000
78,test2,-1.0106351039304642,300
79,test2,-1.0106351039304642,625
80,test2,-1.0106351039304642,1250
81,test2,-1.0106351039304642,2500
82,test2,-1.0106351039304642,5000
83,test2,-1.0106351039304642,10000
84,test4,-1.0188152168673823,300
85,test4,-1.0188152168673823,625
86,test4,-1.0188152168673823,1250
87,test4,-1.0188152168673823,2500
88,test4,-1.0188152168673823,5000
89,test4,-1.0188152168673823,10000
90,test28,-1.027132670465022,300
91,test28,-1.027132670465022,625
92,test28,-1.027132670465022,1250
93,test28,-1.027132670465022,2500
94,test28,-1.027132670465022,5000
95,test28,-1.027132670465022,10000
96,test20,-1.016518129678536,300
97,test20,-1.016518129678536,625
98,test20,-1.016518129678536,1250
99,test20,-1.016518129678536,2500
100,test20,-1.016518129678536,5000
101,test20,-1.016518129678536,10000
102,test9,-0.9897951574087076,300
103,test9,-0.9897951574087076,625
104,test9,-0.9897951574087076,1250
105,test9,-0.9897951574087076,2500
106,test9,-0.9897951574087076,5000
107,test9,-0.9897951574087076,10000
108,test23,-0.8899205075881437,300
109,test23,-0.8899205075881437,625
110,test23,-0.8899205075881437,1250
111,test23,-0.8899205075881437,2500
112,test23,-0.8899205075881437,5000
113,test23,-0.8899205075881437,10000
114,test5,-1.0125117990396926,300
115,test5,-1.0125117990396926,625
116,test5,-1.0125117990396926,1250
117,test5,-1.0125117990396926,2500
118,test5,-1.0125117990396926,5000
119,test5,-1.0125117990396926,10000
120,test26,-0.8259825297900332,300
121,test26,-0.8259825297900332,625
122,test26,-0.8259825297900332,1250
123,test26,-0.8259825297900332,2500
124,test26,-0.8259825297900332,5000
125,test26,-0.8259825297900332,10000
126,test17,-1.0134418360042958,300
127,test17,-1.0134418360042958,625
128,test17,-1.0134418360042958,1250
129,test17,-1.0134418360042958,2500
130,test17,-1.0134418360042958,5000
131,test17,-1.0134418360042958,10000
132,test27,-0.8840486029800523,300
133,test27,-0.8840486029800523,625
134,test27,-0.8840486029800523,1250
135,test27,-0.8840486029800523,2500
136,test27,-0.8840486029800523,5000
137,test27,-0.8840486029800523,10000
138,test13,-1.018073391789065,300
139,test13,-1.018073391789065,625
140,test13,-1.018073391789065,1250
141,test13,-1.018073391789065,2500
142,test13,-1.018073391789065,5000
143,test13,-1.018073391789065,10000
144,test6,-0.7865364377919923,300
145,test6,-0.7865364377919923,625
146,test6,-0.7865364377919923,1250
147,test6,-0.7865364377919923,2500
148,test6,-0.7865364377919923,5000
149,test6,-0.7865364377919923,10000
150,test1,-0.986789644730926,300
151,test1,-0.986789644730926,625
152,test1,-0.986789644730926,1250
153,test1,-0.986789644730926,2500
154,test1,-0.986789644730926,5000
155,test1,-0.986789644730926,10000
156,test16,-0.9955742736998292,300
157,test16,-0.9955742736998292,625
158,test16,-0.9955742736998292,1250
159,test16,-0.9955742736998292,2500
160,test16,-0.9955742736998292,5000
161,test16,-0.9955742736998292,10000
162,test21,-1.0307164112118414,300
163,test21,-1.0307164112118414,625
164,test21,-1.0307164112118414,1250
165,test21,-1.0307164112118414,2500
166,test21,-1.0307164112118414,5000
167,test21,-1.0307164112118414,10000
168,test22,-1.0246767364698428,300
169,test22,-1.0246767364698428,625
170,test22,-1.0246767364698428,1250
171,test22,-1.0246767364698428,2500
172,test22,-1.0246767364698428,5000
173,test22,-1.0246767364698428,10000
174,test14,-0.9933013407469377,300
175,test14,-0.9933013407469377,625
176,test14,-0.9933013407469377,1250
177,test14,-0.9933013407469377,2500
178,test14,-0.9933013407469377,5000
179,test14,-0.9933013407469377,10000
