,test,best result,viable result,evaluations
0,test29,-0.8877520262867887,5,25
1,test29,-0.945343822339364,11,50
2,test29,-0.9937858906299116,27,100
3,test30,-1.0094043859059376,4,25
4,test30,-1.0097293285938436,15,50
5,test30,-1.0101039869029942,34,100
6,test12,-0.5519878305493486,5,25
7,test12,-1.0011156309470899,14,50
8,test12,-1.0279953073630586,32,100
9,test18,-0.2969655737252924,7,25
10,test18,-1.0130641856362892,15,50
11,test18,-1.0147745975193745,31,100
12,test24,-0.8996984618432295,7,25
13,test24,-1.0007070916629333,12,50
14,test24,-1.0007070916629333,31,100
15,test10,-0.9610336397254821,9,25
16,test10,-0.9610336397254821,15,50
17,test10,-1.0293435883512678,31,100
18,test19,-0.9830568010425222,5,25
19,test19,-0.9830568010425222,15,50
20,test19,-1.0306211528850333,30,100
21,test15,-0.7604893042416279,6,25
22,test15,-0.975422268912408,18,50
23,test15,-0.975422268912408,32,100
24,test8,-0.9960505264604198,10,25
25,test8,-0.9960505264604198,15,50
26,test8,-1.0153610197204053,34,100
27,test7,-0.6981952533636586,8,25
28,test7,-0.9947359877519896,15,50
29,test7,-0.9947359877519896,31,100
30,test25,-0.9487826951637192,11,25
31,test25,-0.97837897573248,27,50
32,test25,-0.97837897573248,41,100
33,test3,-0.11811036791143828,1,25
34,test3,-0.7117697160933754,8,50
35,test3,-1.023817946302957,24,100
36,test11,-0.8280778040180958,5,25
37,test11,-0.8280778040180958,18,50
38,test11,-0.8508309880479633,37,100
39,test2,-0.9103310861587214,8,25
40,test2,-0.9346799454032008,16,50
41,test2,-1.0106351039304642,37,100
42,test4,-0.5461664335195953,4,25
43,test4,-0.7629476528049968,11,50
44,test4,-1.0188152168673823,28,100
45,test28,-0.9517869513807236,7,25
46,test28,-0.9517869513807236,12,50
47,test28,-1.027132670465022,32,100
48,test20,-0.8858294304033576,7,25
49,test20,-0.8858294304033576,9,50
50,test20,-1.016518129678536,32,100
51,test9,-0.15811096956557524,3,25
52,test9,-0.903149195404962,6,50
53,test9,-0.9897951574087076,24,100
54,test23,-0.8899205075881437,7,25
55,test23,-0.8899205075881437,15,50
56,test23,-0.8899205075881437,25,100
57,test5,-0.4390790605936794,3,25
58,test5,-1.0125117990396926,7,50
59,test5,-1.0125117990396926,9,100
60,test26,-0.6219081822899092,3,25
61,test26,-0.6219081822899092,5,50
62,test26,-0.8259825297900332,27,100
63,test17,-0.91894432414918,5,25
64,test17,-0.91894432414918,10,50
65,test17,-1.0134418360042958,29,100
66,test27,-0.8840486029800523,6,25
67,test27,-0.8840486029800523,12,50
68,test27,-0.8840486029800523,22,100
69,test13,-0.8256819389108377,8,25
70,test13,-0.951219883312804,16,50
71,test13,-1.018073391789065,27,100
72,test6,-0.4975928293710424,4,25
73,test6,-0.4975928293710424,11,50
74,test6,-0.7865364377919923,21,100
75,test1,-0.788925686722616,6,25
76,test1,-0.8661230787273606,14,50
77,test1,-0.986789644730926,33,100
78,test16,-0.8541378993827434,10,25
79,test16,-0.9955742736998292,14,50
80,test16,-0.9955742736998292,19,100
81,test21,0.21624610930002094,0,25
82,test21,-0.7735809829312749,4,50
83,test21,-1.0307164112118414,22,100
84,test22,-0.3403736161679013,3,25
85,test22,-1.0246767364698428,12,50
86,test22,-1.0246767364698428,32,100
87,test14,-0.6325682139674237,3,25
88,test14,-0.7310599990626044,12,50
89,test14,-0.9933013407469377,27,100
