,test,best result,viable result,evaluations
0,test29,-1.0275063252992669,7,25
1,test29,-1.0278895018834002,15,50
2,test29,-1.0305777109073238,37,100
3,test30,-0.9276736807293406,6,25
4,test30,-1.008226230288185,15,50
5,test30,-1.0194433870110533,33,100
6,test12,0.2797219851561601,0,25
7,test12,-0.16975729006429766,6,50
8,test12,-0.19622014099966067,17,100
9,test18,-0.820343711081728,4,25
10,test18,-0.941438727863992,16,50
11,test18,-0.9838726860992356,40,100
12,test24,-1.0099821109176728,11,25
13,test24,-1.0293817645055412,25,50
14,test24,-1.0305959933737592,42,100
15,test10,-1.010194169777795,12,25
16,test10,-1.023754765558468,21,50
17,test10,-1.0287389108755516,46,100
18,test19,-0.14742079735762026,3,25
19,test19,-0.1986601596885924,10,50
20,test19,-0.1986601596885924,16,100
21,test15,-0.19478320098403049,3,25
22,test15,-0.3858088505095311,6,50
23,test15,-1.0309193589423178,24,100
24,test8,-0.7386503890455753,7,25
25,test8,-0.7536327953362878,19,50
26,test8,-1.0301944586766554,39,100
27,test7,-0.7671531762410853,7,25
28,test7,-0.8823461562782422,15,50
29,test7,-1.0012490144346209,36,100
30,test25,-0.9532941604340108,5,25
31,test25,-0.9775991189303346,15,50
32,test25,-0.9824443319243932,34,100
33,test3,-1.0028609022343389,8,25
34,test3,-1.0028609022343389,19,50
35,test3,-1.0028609022343389,38,100
36,test11,-0.9091643345480418,13,25
37,test11,-0.9350715167425736,23,50
38,test11,-1.0142014516721387,45,100
39,test2,-1.0253760921697914,9,25
40,test2,-1.0253760921697914,22,50
41,test2,-1.0267829472623493,43,100
42,test4,-0.07410825602938065,4,25
43,test4,-1.0126934952349465,15,50
44,test4,-1.030647230318491,39,100
45,test28,-0.738821851349935,10,25
46,test28,-0.9628058784522798,18,50
47,test28,-1.0308722953152316,38,100
48,test20,-0.9883336706586584,11,25
49,test20,-1.0011628384708566,20,50
50,test20,-1.0148216054231611,36,100
51,test9,-0.949936255563812,7,25
52,test9,-0.9936324505944706,16,50
53,test9,-1.012203038101017,36,100
54,test23,-0.9725528474463484,11,25
55,test23,-0.9874519100504126,24,50
56,test23,-1.0026822412388687,42,100
57,test5,-0.914523867186762,12,25
58,test5,-0.914523867186762,18,50
59,test5,-0.98065670881699,33,100
60,test26,-0.5057998610360062,8,25
61,test26,-0.9826501718991844,19,50
62,test26,-1.007543912565123,38,100
63,test17,-0.17379460487676512,1,25
64,test17,-0.2054155854287294,7,50
65,test17,-0.21484121231784087,17,100
66,test27,-0.8573946067585064,9,25
67,test27,-1.0086726929436494,20,50
68,test27,-1.0086726929436494,38,100
69,test13,-0.883889539283385,7,25
70,test13,-0.9982761365874844,16,50
71,test13,-1.023899855648439,38,100
72,test6,-0.9371165791085104,13,25
73,test6,-0.9371165791085104,21,50
74,test6,-1.0147469144095167,45,100
75,test1,-1.0012599420261796,6,25
76,test1,-1.0012599420261796,17,50
77,test1,-1.0166344287395779,36,100
78,test16,-0.9754064648676862,4,25
79,test16,-0.9754064648676862,9,50
80,test16,-1.0041052344249617,25,100
81,test21,-0.8389051198436905,9,25
82,test21,-0.9964623530430956,17,50
83,test21,-1.00007937378877,36,100
84,test22,-0.5997017998675956,8,25
85,test22,-1.0305506033665142,18,50
86,test22,-1.0305506033665142,34,100
87,test14,-0.9025253431790086,2,25
88,test14,-0.9814240730351236,15,50
89,test14,-0.9974446135046638,34,100
