,test,best result,viable result,evaluations
0,test29,0.020251292238873564,0,25
1,test29,-0.9056099103228576,1,50
2,test29,-0.9056099103228576,6,100
3,test30,-0.8285363213547223,2,25
4,test30,-0.8285363213547223,7,50
5,test30,-0.8285363213547223,9,100
6,test12,-0.7920600273661945,1,25
7,test12,-0.7920600273661945,2,50
8,test12,-0.8312340568319532,7,100
9,test18,0.5641632868595161,0,25
10,test18,-0.7619954413009127,3,50
11,test18,-0.7763788227797643,8,100
12,test24,-1.013198021629198,2,25
13,test24,-1.013198021629198,5,50
14,test24,-1.013198021629198,7,100
15,test10,-0.04733502614290625,1,25
16,test10,-0.04733502614290625,1,50
17,test10,-0.1735358882850878,3,100
18,test19,0.16052144934808898,0,25
19,test19,0.16052144934808898,0,50
20,test19,-0.9415055076172134,1,100
21,test15,-0.2371441937077377,1,25
22,test15,-0.5980782647697994,2,50
23,test15,-0.8721385887201833,7,100
24,test8,0.25906733867676435,0,25
25,test8,-0.2067861890000856,1,50
26,test8,-0.9858327310513664,8,100
27,test7,-0.5282222511024134,1,25
28,test7,-0.5282222511024134,1,50
29,test7,-0.5282222511024134,4,100
30,test25,0.052683620161548594,0,25
31,test25,-0.8659958988903241,3,50
32,test25,-0.8659958988903241,4,100
33,test3,-0.4054561066116383,1,25
34,test3,-0.4054561066116383,1,50
35,test3,-0.5866297026350147,5,100
36,test11,-0.8383705904823076,2,25
37,test11,-0.8383705904823076,2,50
38,test11,-0.9085478261085704,7,100
39,test2,-0.9724099116401322,2,25
40,test2,-1.0312454256608348,4,50
41,test2,-1.0312454256608348,9,100
42,test4,-0.7216519588579957,2,25
43,test4,-0.7216519588579957,3,50
44,test4,-0.7216519588579957,5,100
45,test28,-0.9664133565167028,2,25
46,test28,-0.9664133565167028,5,50
47,test28,-0.9664133565167028,7,100
48,test20,-0.2978284224992989,3,25
49,test20,-0.2978284224992989,4,50
50,test20,-1.0221264078128771,9,100
51,test9,-0.5992147657759704,3,25
52,test9,-0.5992147657759704,4,50
53,test9,-0.9755924127258006,6,100
54,test23,-0.29876062084153304,2,25
55,test23,-0.29876062084153304,3,50
56,test23,-0.9146456228631468,8,100
57,test5,0.6423994878423036,0,25
58,test5,-0.5920871813433212,2,50
59,test5,-0.8564836483981613,8,100
60,test26,-0.9890151419454845,3,25
61,test26,-0.9890151419454845,7,50
62,test26,-0.9890151419454845,14,100
63,test17,-0.6690447951581079,1,25
64,test17,-0.6690447951581079,4,50
65,test17,-0.7884759030714342,9,100
66,test27,-0.02153932205763853,1,25
67,test27,-0.7082129759209055,2,50
68,test27,-0.7082129759209055,6,100
69,test13,-0.3567140930850389,1,25
70,test13,-0.6613280820241902,4,50
71,test13,-0.9034826336162896,5,100
72,test6,-0.41537319676898377,2,25
73,test6,-0.8456679066494159,5,50
74,test6,-0.8456679066494159,7,100
75,test1,0.2405346428054218,0,25
76,test1,-0.5530998919570616,1,50
77,test1,-0.9955388412543836,4,100
78,test16,-0.4437530682881675,2,25
79,test16,-0.7389048611643912,3,50
80,test16,-0.8166440981511965,8,100
81,test21,-0.350722553354237,1,25
82,test21,-0.8722762164768793,4,50
83,test21,-0.8722762164768793,6,100
84,test22,0.3118997664031119,0,25
85,test22,-0.8087901133516641,3,50
86,test22,-0.8087901133516641,6,100
87,test14,-0.5536003428494263,2,25
88,test14,-0.5536003428494263,3,50
89,test14,-1.0211606024231263,6,100
