,algorithm,evaluations,rss,rss_var,uss,uss_var
0,hide-and-seek adaptive,100.0,97835417.6,47673442755.972435,94719726.93333334,38768019366.54711
1,hide-and-seek geometric,25.0,97802649.6,50054650378.59311,94684501.33333333,45571932536.64367
2,randomsearch ,25.0,70161476.26666667,34371231725.1678,67001548.8,25969279088.99311
3,hide-and-seek adaptive,25.0,97806745.6,29449915031.834488,94683545.6,24363236698.041378
4,improving hit-and-run ,50.0,97781213.86666666,52380184641.91263,94673988.26666667,43420225658.4092
5,randomsearch ,50.0,70194653.86666666,56035303631.15403,67025169.06666667,38669380906.96092
6,improving hit-and-run ,100.0,97798963.2,42073960137.26895,94686822.4,33835999966.455185
7,hide-and-seek geometric,100.0,97833915.73333333,45291174504.75402,94714811.73333333,40400616040.75401
8,improving hit-and-run ,25.0,97705847.46666667,38954940693.77471,94599304.53333333,26256613018.188507
9,hide-and-seek geometric,50.0,97754589.86666666,33246348318.602306,94631389.86666666,29599039412.671227
10,randomsearch ,100.0,70168712.53333333,45418218526.6023,67000729.6,33122389761.76552
11,hide-and-seek adaptive,50.0,97768243.2,30307057212.02759,94653644.8,20231471216.99311
